Object	Object type	Relation source	Relation source type	Relation target	Relation target type
insulin-like growth factor binding protein 7 [Homo sapiens] interacts with inhibin beta A precursor [Homo sapiens]	Helper_PPI (good experimental evidence)	insulin-like growth factor binding protein 7 [Homo sapiens]	Protein	inhibin beta A precursor [Homo sapiens]	Protein
alpha 2 type I collagen [Homo sapiens] interacts with prolyl 4-hydroxylase, beta subunit [Homo sapiens]	Helper_PPI (good experimental evidence)	alpha 2 type I collagen [Homo sapiens]	Protein	prolyl 4-hydroxylase, beta subunit [Homo sapiens]	Protein
tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide [Homo sapiens] interacts with ribosomal protein S6 kinase, 90kDa, polypeptide 1 isoform b [Homo sapiens]	Helper_PPI (good experimental evidence)	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide [Homo sapiens]	Protein	ribosomal protein S6 kinase, 90kDa, polypeptide 1 isoform b [Homo sapiens]	Protein
fibulin 1 isoform C precursor [Homo sapiens] interacts with nov precursor [Homo sapiens]	Helper_PPI (good experimental evidence)	fibulin 1 isoform C precursor [Homo sapiens]	Protein	nov precursor [Homo sapiens]	Protein
myosin, heavy polypeptide 2, skeletal muscle, adult [Homo sapiens] interacts with protein kinase C, epsilon [Homo sapiens]	Helper_PPI (good experimental evidence)	myosin, heavy polypeptide 2, skeletal muscle, adult [Homo sapiens]	Protein	protein kinase C, epsilon [Homo sapiens]	Protein
janus kinase 1 [Homo sapiens] interacts with protein arginine methyltransferase 5 isoform b [Homo sapiens]	Helper_PPI (good experimental evidence)	janus kinase 1 [Homo sapiens]	Protein	protein arginine methyltransferase 5 isoform b [Homo sapiens]	Protein
tyrosine 3/tryptophan 5 -monooxygenase activation protein, theta polypeptide [Homo sapiens] interacts with disrupted in schizophrenia 1 isoform Lv [Homo sapiens]	Helper_PPI (Two-hybrid)	tyrosine 3/tryptophan 5 -monooxygenase activation protein, theta polypeptide [Homo sapiens]	Protein	disrupted in schizophrenia 1 isoform Lv [Homo sapiens]	Protein
ribosomal protein S4, X-linked X isoform [Homo sapiens] interacts with ribosomal protein S6 [Homo sapiens]	Helper_PPI (good experimental evidence)	ribosomal protein S4, X-linked X isoform [Homo sapiens]	Protein	ribosomal protein S6 [Homo sapiens]	Protein
actin related protein 2/3 complex subunit 3 [Homo sapiens] interacts with HLA-B associated transcript-3 isoform a [Homo sapiens]	Helper_PPI (Two-hybrid)	actin related protein 2/3 complex subunit 3 [Homo sapiens]	Protein	HLA-B associated transcript-3 isoform a [Homo sapiens]	Protein
ribosomal protein S6 kinase, 90kDa, polypeptide 1 isoform b [Homo sapiens] interacts with tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide [Homo sapiens]	Helper_PPI (good experimental evidence)	ribosomal protein S6 kinase, 90kDa, polypeptide 1 isoform b [Homo sapiens]	Protein	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide [Homo sapiens]	Protein
mitogen-activated protein kinase 1 [Homo sapiens] interacts with protein tyrosine phosphatase, non-receptor type 5 (striatum-enriched) isoform a [Homo sapiens]	Helper_PPI (good experimental evidence)	mitogen-activated protein kinase 1 [Homo sapiens]	Protein	protein tyrosine phosphatase, non-receptor type 5 (striatum-enriched) isoform a [Homo sapiens]	Protein
mouse double minute 2 homolog isoform MDM2 [Homo sapiens] interacts with v-abl Abelson murine leukemia viral oncogene homolog 1 isoform a [Homo sapiens]	Helper_PPI (good experimental evidence)	mouse double minute 2 homolog isoform MDM2 [Homo sapiens]	Protein	v-abl Abelson murine leukemia viral oncogene homolog 1 isoform a [Homo sapiens]	Protein
v-ets erythroblastosis virus E26 oncogene homolog 1 [Homo sapiens] interacts with ubiquitin-conjugating enzyme E2I [Homo sapiens]	Helper_PPI (good experimental evidence)	v-ets erythroblastosis virus E26 oncogene homolog 1 [Homo sapiens]	Protein	ubiquitin-conjugating enzyme E2I [Homo sapiens]	Protein
v-akt murine thymoma viral oncogene homolog 1 [Homo sapiens] interacts with glucose transporter 4 [Homo sapiens]	Helper_PPI (good experimental evidence)	v-akt murine thymoma viral oncogene homolog 1 [Homo sapiens]	Protein	glucose transporter 4 [Homo sapiens]	Protein
growth factor receptor-bound protein 2 isoform 1 [Homo sapiens] interacts with vav 3 oncogene [Homo sapiens]	Helper_PPI (good experimental evidence)	growth factor receptor-bound protein 2 isoform 1 [Homo sapiens]	Protein	vav 3 oncogene [Homo sapiens]	Protein
HLA-B associated transcript-3 isoform a [Homo sapiens] interacts with inner membrane protein, mitochondrial [Homo sapiens]	Helper_PPI (Two-hybrid)	HLA-B associated transcript-3 isoform a [Homo sapiens]	Protein	inner membrane protein, mitochondrial [Homo sapiens]	Protein
chemokine binding protein 2 [Homo sapiens] interacts with small inducible cytokine A2 precursor [Homo sapiens]	Helper_PPI (good experimental evidence)	chemokine binding protein 2 [Homo sapiens]	Protein	small inducible cytokine A2 precursor [Homo sapiens]	Protein
hypothetical protein LOC57473 [Homo sapiens] interacts with transglutaminase 2 isoform a [Homo sapiens]	Helper_PPI (Two-hybrid)	hypothetical protein LOC57473 [Homo sapiens]	Protein	transglutaminase 2 isoform a [Homo sapiens]	Protein
granulin isoform 2 precursor [Homo sapiens] interacts with homeobox A1 isoform a [Homo sapiens]	Helper_PPI (Two-hybrid)	granulin isoform 2 precursor [Homo sapiens]	Protein	homeobox A1 isoform a [Homo sapiens]	Protein
major histocompatibility complex, class I, C precursor [Homo sapiens] interacts with inosine monophosphate dehydrogenase 2 [Homo sapiens]	Helper_PPI (good experimental evidence)	major histocompatibility complex, class I, C precursor [Homo sapiens]	Protein	inosine monophosphate dehydrogenase 2 [Homo sapiens]	Protein
related RAS viral (r-ras) oncogene homolog 2 [Homo sapiens] interacts with ral guanine nucleotide dissociation stimulator [Homo sapiens]	Helper_PPI (good experimental evidence)	related RAS viral (r-ras) oncogene homolog 2 [Homo sapiens]	Protein	ral guanine nucleotide dissociation stimulator [Homo sapiens]	Protein
signal transducer and activator of transcription 3 isoform 2 [Homo sapiens] interacts with suppressor of cytokine signaling 3 [Homo sapiens]	Helper_PPI (good experimental evidence)	signal transducer and activator of transcription 3 isoform 2 [Homo sapiens]	Protein	suppressor of cytokine signaling 3 [Homo sapiens]	Protein
protein tyrosine phosphatase, non-receptor type 12 [Homo sapiens] interacts with transforming growth factor beta 1 induced transcript 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	protein tyrosine phosphatase, non-receptor type 12 [Homo sapiens]	Protein	transforming growth factor beta 1 induced transcript 1 [Homo sapiens]	Protein
epidermal growth factor receptor isoform a [Homo sapiens] interacts with karyopherin beta 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	epidermal growth factor receptor isoform a [Homo sapiens]	Protein	karyopherin beta 1 [Homo sapiens]	Protein
diphosphomevalonate decarboxylase [Homo sapiens] interacts with eukaryotic translation elongation factor 1 gamma [Homo sapiens]	Helper_PPI (Two-hybrid)	diphosphomevalonate decarboxylase [Homo sapiens]	Protein	eukaryotic translation elongation factor 1 gamma [Homo sapiens]	Protein
gamma-aminobutyric acid (GABA) A receptor, delta [Homo sapiens] interacts with ubiquilin 2 [Homo sapiens]	Helper_PPI (good experimental evidence)	gamma-aminobutyric acid (GABA) A receptor, delta [Homo sapiens]	Protein	ubiquilin 2 [Homo sapiens]	Protein
RAN binding protein 9 [Homo sapiens] interacts with met proto-oncogene precursor [Homo sapiens]	Helper_PPI (good experimental evidence)	RAN binding protein 9 [Homo sapiens]	Protein	met proto-oncogene precursor [Homo sapiens]	Protein
nuclear receptor subfamily 3, group C, member 1 isoform alpha [Homo sapiens] interacts with nucleolin [Homo sapiens]	Helper_PPI (good experimental evidence)	nuclear receptor subfamily 3, group C, member 1 isoform alpha [Homo sapiens]	Protein	nucleolin [Homo sapiens]	Protein
interleukin 8 precursor [Homo sapiens] interacts with syndecan 1 precursor [Homo sapiens]	Helper_PPI (good experimental evidence)	interleukin 8 precursor [Homo sapiens]	Protein	syndecan 1 precursor [Homo sapiens]	Protein
pleckstrin homology domain containing, family J member 1 [Homo sapiens] interacts with type I hair keratin 3B [Homo sapiens]	Helper_PPI (good experimental evidence)	pleckstrin homology domain containing, family J member 1 [Homo sapiens]	Protein	type I hair keratin 3B [Homo sapiens]	Protein
tyrosine 3/tryptophan 5 -monooxygenase activation protein, theta polypeptide [Homo sapiens] interacts with hypothetical protein LOC55095 [Homo sapiens]	Helper_PPI (good experimental evidence)	tyrosine 3/tryptophan 5 -monooxygenase activation protein, theta polypeptide [Homo sapiens]	Protein	hypothetical protein LOC55095 [Homo sapiens]	Protein
vav 3 oncogene [Homo sapiens] interacts with growth factor receptor-bound protein 2 isoform 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	vav 3 oncogene [Homo sapiens]	Protein	growth factor receptor-bound protein 2 isoform 1 [Homo sapiens]	Protein
ribosomal protein L13a [Homo sapiens] interacts with eukaryotic translation initiation factor 4E [Homo sapiens]	Helper_PPI (good experimental evidence)	ribosomal protein L13a [Homo sapiens]	Protein	eukaryotic translation initiation factor 4E [Homo sapiens]	Protein
ret finger protein isoform alpha [Homo sapiens] interacts with promyelocytic leukemia zinc finger protein [Homo sapiens]	Helper_PPI (Two-hybrid)	ret finger protein isoform alpha [Homo sapiens]	Protein	promyelocytic leukemia zinc finger protein [Homo sapiens]	Protein
TNF receptor-associated factor 6 [Homo sapiens] interacts with nerve growth factor receptor precursor [Homo sapiens]	Helper_PPI (good experimental evidence)	TNF receptor-associated factor 6 [Homo sapiens]	Protein	nerve growth factor receptor precursor [Homo sapiens]	Protein
immunoglobulin lambda constant 1 (Mcg marker) [Homo sapiens] interacts with ubiquilin 1 isoform 1 [Homo sapiens]	Helper_PPI (Two-hybrid)	immunoglobulin lambda constant 1 (Mcg marker) [Homo sapiens]	Protein	ubiquilin 1 isoform 1 [Homo sapiens]	Protein
c-src tyrosine kinase [Homo sapiens] interacts with proto-oncogene tyrosine-protein kinase SRC [Homo sapiens]	Helper_PPI (good experimental evidence)	c-src tyrosine kinase [Homo sapiens]	Protein	proto-oncogene tyrosine-protein kinase SRC [Homo sapiens]	Protein
promyelocytic leukemia zinc finger protein [Homo sapiens] interacts with keratin associated protein 4-12 [Homo sapiens]	Helper_PPI (Two-hybrid)	promyelocytic leukemia zinc finger protein [Homo sapiens]	Protein	keratin associated protein 4-12 [Homo sapiens]	Protein
mouse double minute 2 homolog isoform MDM2 [Homo sapiens] interacts with HIV-1 Tat interactive protein, 60kDa isoform 2 [Homo sapiens]	Helper_PPI (good experimental evidence)	mouse double minute 2 homolog isoform MDM2 [Homo sapiens]	Protein	HIV-1 Tat interactive protein, 60kDa isoform 2 [Homo sapiens]	Protein
mitogen-activated protein kinase kinase kinase 5 [Homo sapiens] interacts with tyrosine 3/tryptophan 5 -monooxygenase activation protein, epsilon polypeptide [Homo sapiens]	Helper_PPI (Two-hybrid)	mitogen-activated protein kinase kinase kinase 5 [Homo sapiens]	Protein	tyrosine 3/tryptophan 5 -monooxygenase activation protein, epsilon polypeptide [Homo sapiens]	Protein
ribosomal protein S6 [Homo sapiens] interacts with eukaryotic translation initiation factor 2 beta [Homo sapiens]	Helper_PPI (good experimental evidence)	ribosomal protein S6 [Homo sapiens]	Protein	eukaryotic translation initiation factor 2 beta [Homo sapiens]	Protein
ubiquilin 2 [Homo sapiens] interacts with paraneoplastic antigen MA1 [Homo sapiens]	Helper_PPI (Two-hybrid)	ubiquilin 2 [Homo sapiens]	Protein	paraneoplastic antigen MA1 [Homo sapiens]	Protein
sorting nexin 6 isoform b [Homo sapiens] interacts with TGF-beta type II receptor isoform A precursor [Homo sapiens]	Helper_PPI (good experimental evidence)	sorting nexin 6 isoform b [Homo sapiens]	Protein	TGF-beta type II receptor isoform A precursor [Homo sapiens]	Protein
LIM and senescent cell antigen-like domains 1 [Homo sapiens] interacts with chromosome 20 open reading frame 195 [Homo sapiens]	Helper_PPI (Two-hybrid)	LIM and senescent cell antigen-like domains 1 [Homo sapiens]	Protein	chromosome 20 open reading frame 195 [Homo sapiens]	Protein
neurofibromin 2 isoform 1 [Homo sapiens] interacts with TAR RNA binding protein 2 isoform b [Homo sapiens]	Helper_PPI (good experimental evidence)	neurofibromin 2 isoform 1 [Homo sapiens]	Protein	TAR RNA binding protein 2 isoform b [Homo sapiens]	Protein
