Relation.source	Relation.target
inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta [Homo sapiens]	heterogeneous nuclear ribonucleoprotein U isoform b [Homo sapiens]
integrin beta 4 binding protein isoform a [Homo sapiens]	guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1 [Homo sapiens]
phosphoinositide-3-kinase, regulatory subunit, polypeptide 1 isoform 2 [Homo sapiens]	hepatocyte growth factor-regulated tyrosine kinase substrate [Homo sapiens]
PIN2-interacting protein 1 [Homo sapiens]	cytochrome c [Homo sapiens]
hypoxia-inducible factor 1, alpha subunit isoform 1 [Homo sapiens]	heat shock protein 90kDa alpha (cytosolic), class A member 1 isoform 1 [Homo sapiens]
v-akt murine thymoma viral oncogene homolog 1 [Homo sapiens]	mitogen-activated protein kinase kinase kinase 5 [Homo sapiens]
beta actin [Homo sapiens]	ribosomal protein P0 [Homo sapiens]
ribosomal protein S6 [Homo sapiens]	ribosomal protein L18 [Homo sapiens]
myogenic differentiation 1 [Homo sapiens]	retinoid X receptor, alpha [Homo sapiens]
myogenic differentiation 1 [Homo sapiens]	Sp1 transcription factor [Homo sapiens]
ribosomal protein S6 [Homo sapiens]	ribosomal protein L4 [Homo sapiens]
ribosomal protein S6 [Homo sapiens]	ribosomal protein L38 [Homo sapiens]
growth factor receptor-bound protein 2 isoform 1 [Homo sapiens]	ribosomal protein L35a [Homo sapiens]
paxillin [Homo sapiens]	glyceraldehyde-3-phosphate dehydrogenase [Homo sapiens]
mitogen-activated protein kinase kinase kinase 14 [Homo sapiens]	receptor (TNFRSF)-interacting serine-threonine kinase 1 [Homo sapiens]
v-raf-1 murine leukemia viral oncogene homolog 1 [Homo sapiens]	vav 1 oncogene [Homo sapiens]
ribosomal protein L18a [Homo sapiens]	neural precursor cell expressed, developmentally down-regulated 4 isoform 1 [Homo sapiens]
v-akt murine thymoma viral oncogene homolog 1 [Homo sapiens]	protein kinase N2 [Homo sapiens]
TNF receptor-associated factor 4 isoform 1 [Homo sapiens]	phospholipid scramblase 1 [Homo sapiens]
40S ribosomal protein S3a [Homo sapiens]	heat shock protein 90kDa alpha (cytosolic), class A member 1 isoform 1 [Homo sapiens]
TNF receptor-associated factor 2 [Homo sapiens]	heat shock protein 90kDa alpha (cytosolic), class A member 1 isoform 1 [Homo sapiens]
paxillin [Homo sapiens]	actin, gamma 1 propeptide [Homo sapiens]
p21-activated kinase 1 [Homo sapiens]	heat shock protein 90kDa alpha (cytosolic), class A member 1 isoform 1 [Homo sapiens]
ribosomal protein S10 [Homo sapiens]	ribosomal protein S6 [Homo sapiens]
inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta [Homo sapiens]	mitogen-activated protein kinase kinase kinase 1 [Homo sapiens]
growth factor receptor-bound protein 2 isoform 1 [Homo sapiens]	ribosomal protein S26 [Homo sapiens]
growth factor receptor-bound protein 2 isoform 1 [Homo sapiens]	ribosomal protein L23 [Homo sapiens]
tyrosine 3/tryptophan 5 -monooxygenase activation protein, zeta polypeptide [Homo sapiens]	mitogen-activated protein kinase kinase kinase 1 [Homo sapiens]
v-akt murine thymoma viral oncogene homolog 1 [Homo sapiens]	heat shock protein 90kDa alpha (cytosolic), class A member 1 [Homo sapiens]
vav 1 oncogene [Homo sapiens]	epidermal growth factor receptor isoform a [Homo sapiens]
v-akt murine thymoma viral oncogene homolog 1 [Homo sapiens]	neutrophil cytosolic factor 1 isoform 1 [Homo sapiens]
cystic fibrosis transmembrane conductance regulator, ATP-binding cassette (sub-family C, member 7) [Homo sapiens]	heat shock 90kDa protein 1, beta [Homo sapiens]
3-phosphoinositide dependent protein kinase-1 isoform 1 [Homo sapiens]	protein kinase N2 [Homo sapiens]
tumor protein p53 [Homo sapiens]	Sp1 transcription factor [Homo sapiens]
insulin-like growth factor binding protein 5 [Homo sapiens]	insulin-like growth factor 1 (somatomedin C) [Homo sapiens]
major histocompatibility complex, class I, B [Homo sapiens]	proliferating cell nuclear antigen [Homo sapiens]
reticuloendotheliosis viral oncogene homolog B [Homo sapiens]	ribosomal protein S11 [Homo sapiens]
promyelocytic leukemia protein isoform 6 [Homo sapiens]	promyelocytic leukemia zinc finger protein [Homo sapiens]
mitogen-activated protein kinase kinase kinase 1 [Homo sapiens]	heat shock 70kDa protein 8 isoform 1 [Homo sapiens]
glycogen synthase kinase 3 beta [Homo sapiens]	DNA directed RNA polymerase II polypeptide B [Homo sapiens]
mitogen-activated protein kinase kinase kinase 14 [Homo sapiens]	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta [Homo sapiens]
MAD, mothers against decapentaplegic homolog 3 [Homo sapiens]	promyelocytic leukemia zinc finger protein [Homo sapiens]
eukaryotic translation initiation factor 2 beta [Homo sapiens]	tumor protein p53 [Homo sapiens]
TNF receptor-associated factor 4 isoform 1 [Homo sapiens]	neutrophil cytosolic factor 1 isoform 1 [Homo sapiens]
phosphoinositide-3-kinase, regulatory subunit, polypeptide 1 isoform 2 [Homo sapiens]	lymphocyte-specific protein tyrosine kinase [Homo sapiens]
epidermal growth factor receptor isoform a [Homo sapiens]	heat shock 70kDa protein 1B [Homo sapiens]
nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100) [Homo sapiens]	heat shock 70kDa protein 1B [Homo sapiens]
ras-related C3 botulinum toxin substrate 1 isoform Rac1 [Homo sapiens]	phosphoinositide-3-kinase, regulatory subunit, polypeptide 1 isoform 2 [Homo sapiens]
nuclear cap binding protein subunit 2, 20kDa [Homo sapiens]	heterogeneous nuclear ribonucleoprotein D isoform d [Homo sapiens]
ribosomal protein S6 [Homo sapiens]	hypothetical protein LOC388524 [Homo sapiens]
nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha [Homo sapiens]	heat shock 70kDa protein 1B [Homo sapiens]
BCL2-antagonist of cell death protein [Homo sapiens]	Ewing sarcoma breakpoint region 1 isoform EWS [Homo sapiens]
v-yes-1 Yamaguchi sarcoma viral related oncogene homolog [Homo sapiens]	SHC (Src homology 2 domain containing) transforming protein 1 isoform p52Shc [Homo sapiens]
cyclin-dependent kinase 2 isoform 1 [Homo sapiens]	ubiquitin and ribosomal protein S27a precursor [Homo sapiens]
tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide [Homo sapiens]	integrin beta 1 isoform 1A precursor [Homo sapiens]
CD4 antigen precursor [Homo sapiens]	ubiquitin and ribosomal protein L40 precursor [Homo sapiens]
tumor necrosis factor receptor 1 precursor [Homo sapiens]	ubiquitin and ribosomal protein L40 precursor [Homo sapiens]
p21-activated kinase 1 [Homo sapiens]	calmodulin 1 [Homo sapiens]
ribosomal protein S18 [Homo sapiens]	ribosomal protein S6 [Homo sapiens]
v-raf-1 murine leukemia viral oncogene homolog 1 [Homo sapiens]	p21-activated kinase 1 [Homo sapiens]
mitogen-activated protein kinase kinase kinase 7 interacting protein 2 [Homo sapiens]	ribosomal protein L23 [Homo sapiens]
calmodulin 1 [Homo sapiens]	heat shock protein 90kDa alpha (cytosolic), class A member 1 isoform 1 [Homo sapiens]
growth factor receptor-bound protein 2 isoform 1 [Homo sapiens]	ribosomal protein L27 [Homo sapiens]
phytanoyl-CoA hydroxylase interacting protein [Homo sapiens]	transcriptional intermediary factor 1 alpha isoform b [Homo sapiens]
retinoid X receptor, alpha [Homo sapiens]	promyelocytic leukemia zinc finger protein [Homo sapiens]
nuclear cap binding protein subunit 1, 80kDa [Homo sapiens]	nuclear cap binding protein subunit 2, 20kDa [Homo sapiens]
mitogen-activated protein kinase 1 [Homo sapiens]	translocated promoter region (to activated MET oncogene) [Homo sapiens]
v-akt murine thymoma viral oncogene homolog 1 [Homo sapiens]	BCL2-antagonist of cell death protein [Homo sapiens]
myogenic differentiation 1 [Homo sapiens]	calmodulin 3 [Homo sapiens]
ribosomal protein S4, X-linked X isoform [Homo sapiens]	ribosomal protein S6 [Homo sapiens]
heat shock protein 90kDa alpha (cytosolic), class A member 1 isoform 1 [Homo sapiens]	casein kinase II alpha 1 subunit isoform a [Homo sapiens]
cyclin A [Homo sapiens]	guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1 [Homo sapiens]
TNFRSF1A-associated via death domain isoform 1 [Homo sapiens]	ribosomal protein S27 [Homo sapiens]
tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, gamma polypeptide [Homo sapiens]	insulin-like growth factor 1 receptor precursor [Homo sapiens]
poly(A) binding protein, cytoplasmic 1 [Homo sapiens]	heterogeneous nuclear ribonucleoprotein K isoform a [Homo sapiens]
retinoid X receptor, alpha [Homo sapiens]	transcriptional intermediary factor 1 alpha isoform b [Homo sapiens]
phosphoinositide-3-kinase, regulatory subunit, polypeptide 1 isoform 2 [Homo sapiens]	growth factor receptor-bound protein 2 isoform 1 [Homo sapiens]
integrin-linked kinase [Homo sapiens]	integrin beta 1 isoform 1A precursor [Homo sapiens]
growth factor receptor-bound protein 2 isoform 1 [Homo sapiens]	ribosomal protein L30 [Homo sapiens]
beta actin [Homo sapiens]	ribosomal protein S4, X-linked X isoform [Homo sapiens]
ubiquitin and ribosomal protein L40 precursor [Homo sapiens]	glycogen synthase kinase 3 beta [Homo sapiens]
ribosomal protein S27 [Homo sapiens]	ribosomal protein S6 [Homo sapiens]
retinoblastoma 1 [Homo sapiens]	v-jun avian sarcoma virus 17 oncogene homolog [Homo sapiens]
v-akt murine thymoma viral oncogene homolog 1 [Homo sapiens]	mitogen-activated protein kinase kinase kinase 8 [Homo sapiens]
beta actin [Homo sapiens]	ribosomal protein S9 [Homo sapiens]
protein phosphatase 2, catalytic subunit, alpha isoform [Homo sapiens]	tumor protein p53 [Homo sapiens]
platelet-activating factor acetylhydrolase, isoform Ib, gamma subunit 29kDa [Homo sapiens]	promyelocytic leukemia zinc finger protein [Homo sapiens]
B-cell CLL/lymphoma 3 [Homo sapiens]	heat shock protein 90kDa alpha (cytosolic), class A member 1 isoform 1 [Homo sapiens]
receptor (TNFRSF)-interacting serine-threonine kinase 1 [Homo sapiens]	heat shock protein 90kDa alpha (cytosolic), class A member 1 isoform 1 [Homo sapiens]
tumor necrosis factor receptor 2 precursor [Homo sapiens]	ribosomal protein L38 [Homo sapiens]
Sp1 transcription factor [Homo sapiens]	promyelocytic leukemia zinc finger protein [Homo sapiens]
beta actin [Homo sapiens]	ribosomal protein S12 [Homo sapiens]
tumor necrosis factor receptor 1 precursor [Homo sapiens]	ribosomal protein L23 [Homo sapiens]
nuclear cap binding protein subunit 2, 20kDa [Homo sapiens]	U5 snRNP-specific protein, 116 kD [Homo sapiens]
proliferating cell nuclear antigen [Homo sapiens]	phosphoinositide-3-kinase, catalytic, gamma polypeptide [Homo sapiens]
heat shock 70kDa protein 8 isoform 1 [Homo sapiens]	ubiquitin and ribosomal protein S27a precursor [Homo sapiens]
mitogen-activated protein kinase 14 isoform 1 [Homo sapiens]	growth factor receptor-bound protein 2 isoform 1 [Homo sapiens]
promyelocytic leukemia zinc finger protein [Homo sapiens]	hepatitis delta antigen-interacting protein A [Homo sapiens]
activin A type I receptor precursor [Homo sapiens]	ubiquitin and ribosomal protein L40 precursor [Homo sapiens]
nuclear receptor subfamily 3, group C, member 1 isoform alpha [Homo sapiens]	heat shock protein 90kDa alpha (cytosolic), class A member 1 isoform 1 [Homo sapiens]
conserved helix-loop-helix ubiquitous kinase [Homo sapiens]	mitogen-activated protein kinase kinase kinase 1 [Homo sapiens]
ribosomal protein S6 [Homo sapiens]	ribosomal protein L7 [Homo sapiens]
promyelocytic leukemia zinc finger protein [Homo sapiens]	hepatitis delta antigen-interacting protein A [Homo sapiens]
promyelocytic leukemia zinc finger protein [Homo sapiens]	keratin associated protein 4-12 [Homo sapiens]
TANK-binding kinase 1 [Homo sapiens]	ribosomal protein S5 [Homo sapiens]
dual specificity phosphatase 2 [Homo sapiens]	tyrosine 3/tryptophan 5 -monooxygenase activation protein, zeta polypeptide [Homo sapiens]
inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase gamma [Homo sapiens]	ribosomal protein S20 [Homo sapiens]
ribosomal protein S6 [Homo sapiens]	eukaryotic translation initiation factor 2 beta [Homo sapiens]
heat shock protein 90kDa alpha (cytosolic), class A member 1 isoform 1 [Homo sapiens]	3-phosphoinositide dependent protein kinase-1 isoform 1 [Homo sapiens]
heat shock protein 90kDa alpha (cytosolic), class A member 1 isoform 1 [Homo sapiens]	signal transducer and activator of transcription 3 isoform 2 [Homo sapiens]
phospholipid scramblase 1 [Homo sapiens]	TNF receptor-associated factor 4 isoform 1 [Homo sapiens]
tumor necrosis factor receptor 1 precursor [Homo sapiens]	ribosomal protein S16 [Homo sapiens]
cullin 1 [Homo sapiens]	glycogen synthase kinase 3 beta [Homo sapiens]
ribosomal protein S6 [Homo sapiens]	ribosomal protein L22 proprotein [Homo sapiens]
tyrosine 3/tryptophan 5 -monooxygenase activation protein, epsilon polypeptide [Homo sapiens]	mitogen-activated protein kinase kinase kinase 1 [Homo sapiens]
tyrosine 3/tryptophan 5 -monooxygenase activation protein, epsilon polypeptide [Homo sapiens]	insulin-like growth factor 1 receptor precursor [Homo sapiens]
tumor necrosis factor receptor 1 precursor [Homo sapiens]	heat shock 70kDa protein 1B [Homo sapiens]
retinoic acid receptor, alpha isoform a [Homo sapiens]	promyelocytic leukemia zinc finger protein [Homo sapiens]
PIN2-interacting protein 1 [Homo sapiens]	mitogen-activated protein kinase-activated protein kinase 2 isoform 2 [Homo sapiens]
PTK2B protein tyrosine kinase 2 beta isoform a [Homo sapiens]	phosphoinositide-3-kinase, regulatory subunit, polypeptide 1 isoform 2 [Homo sapiens]
nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, beta isoform b [Homo sapiens]	ribosomal protein L30 [Homo sapiens]
mitogen-activated protein kinase kinase kinase 14 [Homo sapiens]	calmodulin 1 [Homo sapiens]
v-abl Abelson murine leukemia viral oncogene homolog 1 isoform a [Homo sapiens]	tyrosine 3/tryptophan 5 -monooxygenase activation protein, zeta polypeptide [Homo sapiens]
myc proto-oncogene protein [Homo sapiens]	phosphoinositide-3-kinase, catalytic, gamma polypeptide [Homo sapiens]
heat shock 90kDa protein 1, beta [Homo sapiens]	ribosomal protein L5 [Homo sapiens]
mitogen-activated protein kinase 1 [Homo sapiens]	heat shock transcription factor 1 [Homo sapiens]
mitogen-activated protein kinase kinase kinase 1 [Homo sapiens]	ribosomal protein S6 [Homo sapiens]
tyrosine 3/tryptophan 5 -monooxygenase activation protein, theta polypeptide [Homo sapiens]	insulin receptor substrate 1 [Homo sapiens]
heat shock protein 90kDa alpha (cytosolic), class A member 1 isoform 1 [Homo sapiens]	myc proto-oncogene protein [Homo sapiens]
nuclear cap binding protein subunit 2, 20kDa [Homo sapiens]	splicing factor, arginine/serine-rich 3 [Homo sapiens]
nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100) [Homo sapiens]	ribosomal protein S10 [Homo sapiens]
growth factor receptor-bound protein 2 isoform 1 [Homo sapiens]	ribosomal protein L27a [Homo sapiens]
glycogen synthase kinase 3 beta [Homo sapiens]	ubiquitin B precursor [Homo sapiens]
v-raf-1 murine leukemia viral oncogene homolog 1 [Homo sapiens]	mitogen-activated protein kinase kinase kinase 1 [Homo sapiens]
transforming growth factor, beta receptor I precursor [Homo sapiens]	p21-activated kinase 1 [Homo sapiens]
neutrophil cytosolic factor 1 isoform 1 [Homo sapiens]	TNF receptor-associated factor 4 isoform 1 [Homo sapiens]
integrin-linked kinase [Homo sapiens]	splicing factor 3a, subunit 1, 120kDa isoform 2 [Homo sapiens]
vinculin isoform VCL [Homo sapiens]	guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1 [Homo sapiens]
tyrosine 3/tryptophan 5 -monooxygenase activation protein, zeta polypeptide [Homo sapiens]	heterogeneous nuclear ribonucleoprotein L isoform b [Homo sapiens]
mitogen-activated protein kinase kinase kinase 1 [Homo sapiens]	heat shock 90kDa protein 1, beta [Homo sapiens]
poly(A) binding protein, cytoplasmic 1 [Homo sapiens]	RNA-binding protein S1, serine-rich domain [Homo sapiens]
cell division cycle 2 protein isoform 1 [Homo sapiens]	ubiquitin and ribosomal protein L40 precursor [Homo sapiens]
vav 1 oncogene [Homo sapiens]	growth factor receptor-bound protein 2 isoform 1 [Homo sapiens]
integrin-linked kinase [Homo sapiens]	paxillin [Homo sapiens]
promyelocytic leukemia zinc finger protein [Homo sapiens]	coiled-coil domain containing 85B [Homo sapiens]
v-crk sarcoma virus CT10 oncogene homolog isoform b [Homo sapiens]	ataxin 1 [Homo sapiens]
staufen isoform c [Homo sapiens]	ras-related C3 botulinum toxin substrate 1 isoform Rac1 [Homo sapiens]
PTK2 protein tyrosine kinase 2 isoform b [Homo sapiens]	paxillin [Homo sapiens]
ribosomal protein S6 [Homo sapiens]	eukaryotic translation initiation factor 3, subunit 2 beta, 36kDa [Homo sapiens]
tyrosine 3/tryptophan 5 -monooxygenase activation protein, zeta polypeptide [Homo sapiens]	hypothetical protein LOC57562 [Homo sapiens]
ribosomal protein L38 [Homo sapiens]	erythrocyte membrane protein band 4.1 (elliptocytosis 1, RH-linked) isoform 3 [Homo sapiens]
paxillin [Homo sapiens]	heat shock 70kDa protein 8 isoform 1 [Homo sapiens]
growth factor receptor-bound protein 2 isoform 1 [Homo sapiens]	ribosomal protein L36 [Homo sapiens]
mitogen-activated protein kinase 1 [Homo sapiens]	vav 1 oncogene [Homo sapiens]
inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta [Homo sapiens]	tubulin, beta 4 [Homo sapiens]
ribosomal protein S6 kinase, 70kDa, polypeptide 1 [Homo sapiens]	ribosomal protein S6 [Homo sapiens]
tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, gamma polypeptide [Homo sapiens]	poly(A) binding protein, cytoplasmic 1 [Homo sapiens]
beta actin [Homo sapiens]	60S ribosomal protein L7a [Homo sapiens]
v-rel reticuloendotheliosis viral oncogene homolog A, nuclear factor of kappa light polypeptide gene enhancer in B-cells 3, p65 [Homo sapiens]	ribosomal protein L23 [Homo sapiens]
p21-activated kinase 1 [Homo sapiens]	heat shock 70kDa protein 8 isoform 1 [Homo sapiens]
nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100) [Homo sapiens]	p21-activated kinase 1 [Homo sapiens]
heat shock 70kDa protein 8 isoform 1 [Homo sapiens]	ubiquitin and ribosomal protein S27a precursor [Homo sapiens]
dual specificity phosphatase 2 [Homo sapiens]	mitogen-activated protein kinase 1 [Homo sapiens]
glycogen synthase kinase 3 beta [Homo sapiens]	p21-activated kinase 1 [Homo sapiens]
mitogen-activated protein kinase kinase kinase 7 interacting protein 1 isoform alpha [Homo sapiens]	heat shock protein 90kDa alpha (cytosolic), class A member 1 isoform 1 [Homo sapiens]
ribosomal protein S6 [Homo sapiens]	eukaryotic translation initiation factor 3, subunit 3 gamma, 40kDa [Homo sapiens]
promyelocytic leukemia protein isoform 6 [Homo sapiens]	transcriptional intermediary factor 1 alpha isoform b [Homo sapiens]
v-akt murine thymoma viral oncogene homolog 1 [Homo sapiens]	tumor necrosis factor ligand superfamily, member 11 isoform 1 [Homo sapiens]
caspase 8 isoform A [Homo sapiens]	integrin-linked kinase [Homo sapiens]
inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase gamma [Homo sapiens]	ribosomal protein P2 [Homo sapiens]
tyrosine 3/tryptophan 5 -monooxygenase activation protein, zeta polypeptide [Homo sapiens]	tumor protein p53 [Homo sapiens]
tyrosine 3/tryptophan 5 -monooxygenase activation protein, zeta polypeptide [Homo sapiens]	poly(A) binding protein, cytoplasmic 1 [Homo sapiens]
paxillin [Homo sapiens]	heat shock 70kDa protein 5 (glucose-regulated protein, 78kDa) [Homo sapiens]
v-akt murine thymoma viral oncogene homolog 1 [Homo sapiens]	v-raf-1 murine leukemia viral oncogene homolog 1 [Homo sapiens]
tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, gamma polypeptide [Homo sapiens]	splicing factor 3b, subunit 3 [Homo sapiens]
ribosomal protein S6 [Homo sapiens]	ribosomal protein L23 [Homo sapiens]
B-cell lymphoma 6 protein [Homo sapiens]	promyelocytic leukemia zinc finger protein [Homo sapiens]
TNF receptor-associated factor 2 [Homo sapiens]	TRAF2 and NCK interacting kinase [Homo sapiens]
complement component 1, q subcomponent binding protein precursor [Homo sapiens]	mitogen-activated protein kinase 1 [Homo sapiens]
mitogen-activated protein kinase kinase kinase 14 [Homo sapiens]	translocase of inner mitochondrial membrane 50 homolog [Homo sapiens]
CREB binding protein [Homo sapiens]	conserved helix-loop-helix ubiquitous kinase [Homo sapiens]
insulin receptor substrate 1 [Homo sapiens]	mitogen-activated protein kinase 1 [Homo sapiens]
myc proto-oncogene protein [Homo sapiens]	histone deacetylase 1 [Homo sapiens]
transcriptional intermediary factor 1 alpha isoform b [Homo sapiens]	nuclear receptor subfamily 3, group C, member 1 isoform alpha [Homo sapiens]
v-rel reticuloendotheliosis viral oncogene homolog A, nuclear factor of kappa light polypeptide gene enhancer in B-cells 3, p65 [Homo sapiens]	heat shock protein 90kDa alpha (cytosolic), class A member 1 isoform 1 [Homo sapiens]
myc proto-oncogene protein [Homo sapiens]	v-raf-1 murine leukemia viral oncogene homolog 1 [Homo sapiens]
epidermal growth factor receptor isoform a [Homo sapiens]	mitogen-activated protein kinase kinase kinase 14 [Homo sapiens]
mitogen-activated protein kinase kinase kinase 14 [Homo sapiens]	heat shock protein 90kDa alpha (cytosolic), class A member 1 isoform 1 [Homo sapiens]
IKK-related kinase epsilon [Homo sapiens]	eukaryotic translation initiation factor 3, subunit 10 theta, 150/170kDa [Homo sapiens]
insulin-like growth factor binding protein 5 [Homo sapiens]	four and a half LIM domains 2 [Homo sapiens]
TRAF2 and NCK interacting kinase [Homo sapiens]	cytochrome c [Homo sapiens]
mitogen-activated protein kinase-activated protein kinase 2 isoform 2 [Homo sapiens]	protein phosphatase 2, catalytic subunit, alpha isoform [Homo sapiens]
v-crk sarcoma virus CT10 oncogene homolog isoform b [Homo sapiens]	ataxin 1 [Homo sapiens]
activating signal cointegrator 1 complex subunit 2 [Homo sapiens]	phosphoinositide-3-kinase, catalytic, gamma polypeptide [Homo sapiens]
nuclear cap binding protein subunit 2, 20kDa [Homo sapiens]	heterogeneous nuclear ribonucleoprotein U isoform b [Homo sapiens]
mitogen-activated protein kinase kinase kinase 1 [Homo sapiens]	damage-specific DNA binding protein 1 [Homo sapiens]
platelet-activating factor acetylhydrolase, isoform Ib, gamma subunit 29kDa [Homo sapiens]	promyelocytic leukemia zinc finger protein [Homo sapiens]
cyclin-dependent kinase 2 isoform 1 [Homo sapiens]	poly(A) binding protein, cytoplasmic 1 [Homo sapiens]
TNF receptor-associated factor 6 [Homo sapiens]	CDC37 homolog [Homo sapiens]
p21-activated kinase 1 [Homo sapiens]	v-rel reticuloendotheliosis viral oncogene homolog A, nuclear factor of kappa light polypeptide gene enhancer in B-cells 3, p65 [Homo sapiens]
heat shock 70kDa protein 8 isoform 1 [Homo sapiens]	ubiquitin and ribosomal protein L40 precursor [Homo sapiens]
dihydrolipoamide S-succinyltransferase (E2 component of 2-oxo-glutarate complex) [Homo sapiens]	promyelocytic leukemia zinc finger protein [Homo sapiens]
growth factor receptor-bound protein 2 isoform 1 [Homo sapiens]	ribosomal protein L3 isoform a [Homo sapiens]
TANK-binding kinase 1 [Homo sapiens]	ribosomal protein S18 [Homo sapiens]
IKK-related kinase epsilon [Homo sapiens]	ribosomal protein S9 [Homo sapiens]
growth factor receptor-bound protein 2 isoform 1 [Homo sapiens]	ribosomal protein S25 [Homo sapiens]
phosphoinositide-3-kinase, regulatory subunit, polypeptide 1 isoform 2 [Homo sapiens]	interferon-alpha receptor 1 precursor [Homo sapiens]
receptor-interacting serine-threonine kinase 3 [Homo sapiens]	heat shock 70kDa protein 1B [Homo sapiens]
beta actin [Homo sapiens]	ribosomal protein L7 [Homo sapiens]
mitogen-activated protein kinase kinase kinase 3 isoform 2 [Homo sapiens]	heat shock 70kDa protein 1B [Homo sapiens]
tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, gamma polypeptide [Homo sapiens]	splicing factor, arginine/serine-rich 1 (splicing factor 2, alternate splicing factor) [Homo sapiens]
mitogen-activated protein kinase kinase 1 [Homo sapiens]	v-raf-1 murine leukemia viral oncogene homolog 1 [Homo sapiens]
mitogen-activated protein kinase 1 [Homo sapiens]	mitogen-activated protein kinase 14 isoform 1 [Homo sapiens]
MAD, mothers against decapentaplegic homolog 3 [Homo sapiens]	ribosomal protein P0 [Homo sapiens]
mitogen-activated protein kinase 1 [Homo sapiens]	erythropoietin receptor precursor [Homo sapiens]
glycogen synthase kinase 3 beta [Homo sapiens]	splicing factor 3a, subunit 1, 120kDa isoform 2 [Homo sapiens]
hypothetical protein FLJ20425 [Homo sapiens]	mitogen-activated protein kinase-activated protein kinase 2 isoform 2 [Homo sapiens]
cyclin-dependent kinase 2 isoform 1 [Homo sapiens]	ubiquitin and ribosomal protein L40 precursor [Homo sapiens]
protein kinase D1 [Homo sapiens]	insulin-like growth factor 1 receptor precursor [Homo sapiens]
mitogen-activated protein kinase kinase kinase 14 [Homo sapiens]	tubulin, beta 4 [Homo sapiens]
insulin receptor [Homo sapiens]	vav 1 oncogene [Homo sapiens]
growth factor receptor-bound protein 2 isoform 1 [Homo sapiens]	ribosomal protein L18 [Homo sapiens]
