Object	Object type	Related Gene	Topological rank	Relevance rank	Expression rank	Related objects (Gene elements).Object	Related objects (Gene elements).Object type	Related objects (Gene elements).Pathways
adrenergic, beta-2-, receptor, surface [Homo sapiens]	Protein	ADRB2 [Homo sapiens]	14	1	1.1898762283334747	ADRB2 [Homo sapiens]	Gene	Neuroactive ligand-receptor interaction [Homo sapiens];Calcium signaling pathway [Homo sapiens];Regulation of actin cytoskeleton [Homo sapiens]
beta adrenergic receptor kinase 1 [Homo sapiens]	Protein	ADRBK1 [Homo sapiens]	20	1	0.638164914932854	ADRBK1 [Homo sapiens]	Gene	
beta adrenergic receptor kinase 2 [Homo sapiens]	Protein	ADRBK2 [Homo sapiens]	3	2	0.578102973487452	ADRBK2 [Homo sapiens]	Gene	Olfactory transduction [Homo sapiens]
aggrecan 1 isoform 1 precursor [Homo sapiens]	Protein	AGC1 [Homo sapiens]	6	1	0.9245294119051266	AGC1 [Homo sapiens]	Gene	
adenylate kinase 1 [Homo sapiens]	Protein	AK1 [Homo sapiens]	4	2	1.42524527284365	AK1 [Homo sapiens]	Gene	Cholera [Homo sapiens];Purine metabolism [Homo sapiens]
A-kinase anchor protein 9 isoform 2 [Homo sapiens]	Protein	AKAP9 [Homo sapiens]	17	1	1.0538072441107798	AKAP9 [Homo sapiens]	Gene	
v-akt murine thymoma viral oncogene homolog 1 [Homo sapiens]	Protein	AKT1 [Homo sapiens]	73	1	0.9977823605379523	AKT1 [Homo sapiens];CAPNS1 [Homo sapiens]	Gene;Gene	Fc epsilon RI signaling pathway [Homo sapiens];Chronic myeloid leukemia [Homo sapiens];Pancreatic cancer [Homo sapiens];Insulin signaling pathway [Homo sapiens];Apoptosis [Homo sapiens];Glioma [Homo sapiens];VEGF signaling pathway [Homo sapiens];Focal adhesion [Homo sapiens];Jak-STAT signaling pathway [Homo sapiens];Toll-like receptor signaling pathway [Homo sapiens];Colorectal cancer [Homo sapiens];B cell receptor signaling pathway [Homo sapiens];MAPK signaling pathway [Homo sapiens];mTOR signaling pathway [Homo sapiens];Tight junction [Homo sapiens];T cell receptor signaling pathway [Homo sapiens];Adipocytokine signaling pathway [Homo sapiens];Prostate cancer [Homo sapiens];Acute myeloid leukemia [Homo sapiens];Small cell lung cancer [Homo sapiens];ErbB signaling pathway [Homo sapiens];Endometrial cancer [Homo sapiens];Non-small cell lung cancer [Homo sapiens];Renal cell carcinoma [Homo sapiens];Melanoma [Homo sapiens];AKT-mTOR_regulated_skeletal-muscle-hypertrophy;Ceramide_pathway;EGF_PI3K_pathway_lung;IGF-1_PI3K_Akt;IL12-MMP9_pathway_blood;IL13_PI3K_AKT1_pathway_lung;Insulin-MAPK-PI3K-AKT_pathway_;muscle_angiogenesis_pathway_blood;Thrombin_PI3K_pathway_lung;
albumin precursor [Homo sapiens]	Protein	ALB [Homo sapiens]	157	0	0.667878385673813	ALB [Homo sapiens]	Gene	
anaplastic lymphoma kinase Ki-1 [Homo sapiens]	Protein	ALK [Homo sapiens]	10	2	0.9059230457100337	ALK [Homo sapiens]	Gene	
alpha-1-microglobulin/bikunin precursor [Homo sapiens]	Protein	AMBP [Homo sapiens]	7	2	0.6690491962223767	AMBP [Homo sapiens]	Gene	
amphiphysin isoform 1 [Homo sapiens]	Protein	AMPH [Homo sapiens]	9	1	1.0965347935065046	AMPH [Homo sapiens]	Gene	
annexin A2 isoform 2 [Homo sapiens]	Protein	ANXA2 [Homo sapiens]	35	2	1.0344151818818335	ANXA2 [Homo sapiens]	Gene	
adaptor-related protein complex 2, alpha 1 subunit isoform 1 [Homo sapiens]	Protein	AP2A1 [Homo sapiens]	26	1	0.589975564296313	AP2A1 [Homo sapiens]	Gene	
adaptor-related protein complex 2, beta 1 subunit isoform a [Homo sapiens]	Protein	AP2B1 [Homo sapiens]	33	2	1.0847935311076267	AP2B1 [Homo sapiens];ATXN3 [Homo sapiens];CRKL [Homo sapiens];GAPDH [Homo sapiens];KIF5B [Homo sapiens];MAP3K1 [Homo sapiens];MAPK1 [Homo sapiens];MFN1 [Homo sapiens];NEK9 [Homo sapiens];NSD1 [Homo sapiens];PATL1 [Homo sapiens];PCTK1 [Homo sapiens];PCYT1A [Homo sapiens];PSME3 [Homo sapiens];PVR [Homo sapiens];SUMO1 [Homo sapiens];SENP2 [Homo sapiens];LOC641977 [Homo sapiens];SEPT2 [Homo sapiens];SEPT6 [Homo sapiens];SMEK2 [Homo sapiens];SNX19 [Homo sapiens];TTLL13 [Homo sapiens];UBFD1 [Homo sapiens];WDR68 [Homo sapiens]	Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene	;;Chronic myeloid leukemia [Homo sapiens];Focal adhesion [Homo sapiens];Insulin signaling pathway [Homo sapiens];MAPK signaling pathway [Homo sapiens];ErbB signaling pathway [Homo sapiens];Renal cell carcinoma [Homo sapiens];Regulation of actin cytoskeleton [Homo sapiens];Alzheimer's disease [Homo sapiens];Huntington's disease [Homo sapiens];Dentatorubropallidoluysian atrophy (DRPLA) [Homo sapiens];Neurodegenerative Diseases [Homo sapiens];Glycolysis / Gluconeogenesis [Homo sapiens];;MAPK signaling pathway [Homo sapiens];GnRH signaling pathway [Homo sapiens];Ubiquitin mediated proteolysis [Homo sapiens];Gap junction [Homo sapiens];elastase_NFkB_IL8_pathway_lung;IL1B_NFkB_TGFB1_pathway_lung;TNF-MAPK;TNFa-MUC5AC_pathway_lung;TNFa-VEGF_pathway_blood;TNFa_MUC5AC_pathway_lung;TNF_IL1B_NFkB_pathway_lung;TNF_involves_NFkB-cJUN-AFT_;Long-term potentiation [Homo sapiens];Focal adhesion [Homo sapiens];GnRH signaling pathway [Homo sapiens];Insulin signaling pathway [Homo sapiens];VEGF signaling pathway [Homo sapiens];Fc epsilon RI signaling pathway [Homo sapiens];Long-term depression [Homo sapiens];Colorectal cancer [Homo sapiens];Pancreatic cancer [Homo sapiens];Natural killer cell mediated cytotoxicity [Homo sapiens];Glioma [Homo sapiens];Chronic myeloid leukemia [Homo sapiens];Gap junction [Homo sapiens];MAPK signaling pathway [Homo sapiens];mTOR signaling pathway [Homo sapiens];Axon guidance [Homo sapiens];Adherens junction [Homo sapiens];Type II diabetes mellitus [Homo sapiens];TGF-beta signaling pathway [Homo sapiens];Regulation of actin cytoskeleton [Homo sapiens];Renal cell carcinoma [Homo sapiens];ErbB signaling pathway [Homo sapiens];Endometrial cancer [Homo sapiens];Toll-like receptor signaling pathway [Homo sapiens];Bladder cancer [Homo sapiens];Melanogenesis [Homo sapiens];Melanoma [Homo sapiens];Thyroid cancer [Homo sapiens];Non-small cell lung cancer [Homo sapiens];Prostate cancer [Homo sapiens];Acute myeloid leukemia [Homo sapiens];Dorso-ventral axis formation [Homo sapiens];Inositol phosphate metabolism [Homo sapiens];IL1B-MAPK-MUC5AC_pathway_lung;IL17_IL6_MUC5B_pathway_lung;AKT-mTOR_regulated_skeletal-muscle-hypertrophy;IGF1-MAPK_pathway_blood;IGF1_MAPK pathway;IL-6_signaling_pathway;IL13_MUC5AC_pathway_lung;IL1B-MAPK-MUC2-MUC5AC_pathway_lung;IL1B_MAPK_MUC2_MUC5AC_pathway_lung;Insulin-MAPK-PI3K-AKT_pathway_;muscle_angiogenesis_pathway_blood;ROS_JNK_ERK_pathway_lung;ROS_MAPKs_MMP1_pathway_lung;ROS_TGFa_EGFR_pathway_lung;TGFbeta_signaling_pathway;TNFa-MUC5AC_pathway_lung;TNFa-VEGF_pathway_blood;TNFa_MUC5AC_pathway_lung;;;Lysine degradation [Homo sapiens];;;Glycerophospholipid metabolism [Homo sapiens];Aminophosphonate metabolism [Homo sapiens];Antigen processing and presentation [Homo sapiens];Cell adhesion molecules (CAMs) [Homo sapiens];;Wnt signaling pathway [Homo sapiens];;;;;;;;
adaptor-related protein complex 3, sigma 1 subunit isoform 2 [Homo sapiens]	Protein	AP3S1 [Homo sapiens]	5	2	1.05294298304011	AP3S1 [Homo sapiens]	Gene	
amyloid beta A4 precursor protein-binding, family B, member 1 isoform E9 [Homo sapiens]	Protein	APBB1 [Homo sapiens]	13	2	1.1424996924430266	APBB1 [Homo sapiens];BAZ1A [Homo sapiens];CAPZA1 [Homo sapiens];DUSP3 [Homo sapiens];FAM127A [Homo sapiens];MPDZ [Homo sapiens];LNX1 [Homo sapiens];RAP2B [Homo sapiens]	Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene	Alzheimer's disease [Homo sapiens];;;MAPK signaling pathway [Homo sapiens];;Tight junction [Homo sapiens];;
amyloid beta A4 precursor protein-binding, family B, member 2 [Homo sapiens]	Protein	APBB2 [Homo sapiens]	5	2	1.30497401021334	APBB2 [Homo sapiens]	Gene	
amyloid beta precursor protein-binding, family B, member 3 isoform d [Homo sapiens]	Protein	APBB3 [Homo sapiens]	3	0	0.8439643477819027	APBB3 [Homo sapiens];HNRNPM [Homo sapiens];MDH1B [Homo sapiens];SIRT3 [Homo sapiens];SPSB3 [Homo sapiens]	Gene;Gene;Gene;Gene;Gene	;;;;
amyloid beta (A4) precursor-like protein 2 [Homo sapiens]	Protein	APLP2 [Homo sapiens]	4	1	0.9910069129591154	APLP2 [Homo sapiens]	Gene	
apolipoprotein A-I preproprotein [Homo sapiens]	Protein	APOA1 [Homo sapiens]	71	2	1.050573274109887	APOA1 [Homo sapiens]	Gene	PPAR signaling pathway [Homo sapiens]
apolipoprotein B precursor [Homo sapiens]	Protein	APOB [Homo sapiens]	24	1	0.7172953961585601	APOB [Homo sapiens]	Gene	
amyloid beta A4 protein precursor, isoform a [Homo sapiens]	Protein	APP [Homo sapiens]	83	3	1.13696277461762	APP [Homo sapiens]	Gene	Alzheimer's disease [Homo sapiens];Neurodegenerative Diseases [Homo sapiens]
amyloid beta precursor protein-binding protein 2 [Homo sapiens]	Protein	APPBP2 [Homo sapiens]	23	1	1.1072161147925101	APPBP2 [Homo sapiens];GARNL1 [Homo sapiens]	Gene;Gene	;
aprataxin isoform a [Homo sapiens]	Protein	APTX [Homo sapiens]	2	0	1.0151858399667777	APTX [Homo sapiens];AATF [Homo sapiens];ACOT7 [Homo sapiens];ACP1 [Homo sapiens];AGPS [Homo sapiens];AHCY [Homo sapiens];ALG9 [Homo sapiens];AMMECR1 [Homo sapiens];AQP1 [Homo sapiens];BCL2L12 [Homo sapiens];BRMS1L [Homo sapiens];BRMS1 [Homo sapiens];BTRC [Homo sapiens];BUB3 [Homo sapiens];C14orf143 [Homo sapiens];C14orf145 [Homo sapiens];C14orf172 [Homo sapiens];C14orf21 [Homo sapiens];C18orf10 [Homo sapiens];TTC39C [Homo sapiens];C1QBP [Homo sapiens];C4orf28 [Homo sapiens];C8orf33 [Homo sapiens];CENPA [Homo sapiens];CLN6 [Homo sapiens];CNOT1 [Homo sapiens];COMMD4 [Homo sapiens];COX4NB [Homo sapiens];CSTF2 [Homo sapiens];DARS2 [Homo sapiens];DCTN5 [Homo sapiens];DEF8 [Homo sapiens];DENR [Homo sapiens];DTYMK [Homo sapiens];EDC3 [Homo sapiens];EFTUD2 [Homo sapiens];ENTPD7 [Homo sapiens];ERCC8 [Homo sapiens];ERLIN1 [Homo sapiens];EXOSC2 [Homo sapiens];EXOSC3 [Homo sapiens];EXOSC4 [Homo sapiens];FAM120A [Homo sapiens];FAM78B [Homo sapiens];FANCI [Homo sapiens];FARSA [Homo sapiens];FBXL6 [Homo sapiens];FEN1 [Homo sapiens];FLAD1 [Homo sapiens];FTSJ1 [Homo sapiens];GART [Homo sapiens];GDI2 [Homo sapiens];GLRX3 [Homo sapiens];GORASP2 [Homo sapiens];GTF2E2 [Homo sapiens];GTF3C2 [Homo sapiens];GTF3C3 [Homo sapiens];HDAC8 [Homo sapiens];KATNB1 [Homo sapiens];KLHL2 [Homo sapiens];L3MBTL2 [Homo sapiens];LRRC59 [Homo sapiens];LSM11 [Homo sapiens];MAD2L1 [Homo sapiens];MAD2L2 [Homo sapiens];MGAT2 [Homo sapiens];MOGAT2 [Homo sapiens];MRPL42 [Homo sapiens];MRTO4 [Homo sapiens];MSI2 [Homo sapiens];NA [Homo sapiens];NCOA1 [Homo sapiens];NME1-NME2 [Homo sapiens];NOC4L [Homo sapiens];NOLC1 [Homo sapiens];NSDHL [Homo sapiens];NUP155 [Homo sapiens];OTUB1 [Homo sapiens];PAICS [Homo sapiens];PCGF3 [Homo sapiens];PCMTD1 [Homo sapiens];PDCD11 [Homo sapiens];PDGFRB [Homo sapiens];PLK1 [Homo sapiens];POLR1C [Homo sapiens];POLR1D [Homo sapiens];PPIL5 [Homo sapiens];PRDX1 [Homo sapiens];PRELID1 [Homo sapiens];PSMA5 [Homo sapiens];PSMB1 [Homo sapiens];PSMB2 [Homo sapiens];PSMB7 [Homo sapiens];PSME3 [Homo sapiens];PUSL1 [Homo sapiens];PWP1 [Homo sapiens];RAD51L3 [Homo sapiens];RAE1 [Homo sapiens];RAI2 [Homo sapiens];RAN [Homo sapiens];RANGAP1 [Homo sapiens];REXO4 [Homo sapiens];RFC2 [Homo sapiens];RFC3 [Homo sapiens];RFC5 [Homo sapiens];RFT1 [Homo sapiens];GPR172B [Homo sapiens];RNASEH2A [Homo sapiens];RNGTT [Homo sapiens];RPS19 [Homo sapiens];RRM1 [Homo sapiens];SAAL1 [Homo sapiens];SCD [Homo sapiens];SENP1 [Homo sapiens];SLC35A2 [Homo sapiens];SPARCL1 [Homo sapiens];SURF4 [Homo sapiens];SUV39H1 [Homo sapiens];TBRG4 [Homo sapiens];TDP1 [Homo sapiens];THG1L [Homo sapiens];TMCO7 [Homo sapiens];TMEM103 [Homo sapiens];TMEM140 [Homo sapiens];TMEM48 [Homo sapiens];TREX1 [Homo sapiens];TSGA14 [Homo sapiens];TTLL12 [Homo sapiens];TXNDC17 [Homo sapiens];UACA [Homo sapiens];UBE2I [Homo sapiens];UBE2N [Homo sapiens];UCK2 [Homo sapiens];UMPS [Homo sapiens];WDR18 [Homo sapiens];WDR4 [Homo sapiens];WDR57 [Homo sapiens];WHSC1 [Homo sapiens];XPNPEP1 [Homo sapiens];XPO5 [Homo sapiens];YRDC [Homo sapiens];ZBTB20 [Homo sapiens];ZDHHC3 [Homo sapiens];ZNF44 [Homo sapiens]	Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene	;;Polyunsaturated fatty acid biosynthesis [Homo sapiens];Biosynthesis of unsaturated fatty acids [Homo sapiens];Adherens junction [Homo sapiens];Riboflavin metabolism [Homo sapiens];gamma-Hexachlorocyclohexane degradation [Homo sapiens];Ether lipid metabolism [Homo sapiens];Methionine metabolism [Homo sapiens];Selenoamino acid metabolism [Homo sapiens];Glycan structures - biosynthesis 1 [Homo sapiens];N-Glycan biosynthesis [Homo sapiens];;;;;;Hedgehog signaling pathway [Homo sapiens];Wnt signaling pathway [Homo sapiens];Ubiquitin mediated proteolysis [Homo sapiens];Cell cycle [Homo sapiens];;;;;;;;;;;;;;;AKT-mTOR_regulated_skeletal-muscle-hypertrophy;Insulin-MAPK-PI3K-AKT_pathway_;Alanine and aspartate metabolism [Homo sapiens];Aminoacyl-tRNA biosynthesis [Homo sapiens];;;;Pyrimidine metabolism [Homo sapiens];;;Folate biosynthesis [Homo sapiens];Starch and sucrose metabolism [Homo sapiens];Nucleotide excision repair [Homo sapiens];Ubiquitin mediated proteolysis [Homo sapiens];;;;;;;;;;DNA polymerase [Homo sapiens];DNA replication [Homo sapiens];Base excision repair [Homo sapiens];Riboflavin metabolism [Homo sapiens];;Purine metabolism [Homo sapiens];One carbon pool by folate [Homo sapiens];;;;Basal transcription factors [Homo sapiens];;;;;;;;;Cell cycle [Homo sapiens];Cell cycle [Homo sapiens];Glycan structures - biosynthesis 1 [Homo sapiens];N-Glycan biosynthesis [Homo sapiens];;;;;;;;;;Biosynthesis of steroids [Homo sapiens];;;Purine metabolism [Homo sapiens];;;;Cytokine-cytokine receptor interaction [Homo sapiens];Glioma [Homo sapiens];MAPK signaling pathway [Homo sapiens];Gap junction [Homo sapiens];Focal adhesion [Homo sapiens];Calcium signaling pathway [Homo sapiens];Regulation of actin cytoskeleton [Homo sapiens];Adherens junction [Homo sapiens];Prostate cancer [Homo sapiens];Dorso-ventral axis formation [Homo sapiens];Melanoma [Homo sapiens];Colorectal cancer [Homo sapiens];GnRH signaling pathway [Homo sapiens];Pancreatic cancer [Homo sapiens];Epithelial cell signaling in Helicobacter pylori infection [Homo sapiens];ErbB signaling pathway [Homo sapiens];Non-small cell lung cancer [Homo sapiens];Endometrial cancer [Homo sapiens];Bladder cancer [Homo sapiens];Cell cycle [Homo sapiens];RNA polymerase [Homo sapiens];Pyrimidine metabolism [Homo sapiens];Purine metabolism [Homo sapiens];RNA polymerase [Homo sapiens];Pyrimidine metabolism [Homo sapiens];Purine metabolism [Homo sapiens];;;;Proteasome [Homo sapiens];Proteasome [Homo sapiens];Proteasome [Homo sapiens];Proteasome [Homo sapiens];Antigen processing and presentation [Homo sapiens];;;Homologous recombination [Homo sapiens];;;;;;DNA polymerase [Homo sapiens];DNA replication [Homo sapiens];Nucleotide excision repair [Homo sapiens];Mismatch repair [Homo sapiens];DNA polymerase [Homo sapiens];DNA replication [Homo sapiens];Nucleotide excision repair [Homo sapiens];Mismatch repair [Homo sapiens];DNA polymerase [Homo sapiens];DNA replication [Homo sapiens];Nucleotide excision repair [Homo sapiens];Mismatch repair [Homo sapiens];N-Glycan biosynthesis [Homo sapiens];;DNA polymerase [Homo sapiens];DNA replication [Homo sapiens];;AKT-mTOR_regulated_skeletal-muscle-hypertrophy;Insulin-MAPK-PI3K-AKT_pathway_;p53 signaling pathway [Homo sapiens];Pyrimidine metabolism [Homo sapiens];Purine metabolism [Homo sapiens];Glutathione metabolism [Homo sapiens];;PPAR signaling pathway [Homo sapiens];Polyunsaturated fatty acid biosynthesis [Homo sapiens];Biosynthesis of unsaturated fatty acids [Homo sapiens];;;;;Lysine degradation [Homo sapiens];;;;;;;;;;;;;Ubiquitin mediated proteolysis [Homo sapiens];Ubiquitin_proteasome_pathway;Ubiquitin mediated proteolysis [Homo sapiens];Pyrimidine metabolism [Homo sapiens];Drug metabolism - other enzymes [Homo sapiens];Pyrimidine metabolism [Homo sapiens];Drug metabolism - other enzymes [Homo sapiens];;;;;;;;;;
Rho GTPase activating protein 1 [Homo sapiens]	Protein	ARHGAP1 [Homo sapiens]	15	2	0.9492346184167827	ARHGAP1 [Homo sapiens]	Gene	
Rho GTPase activating protein 5 isoform a [Homo sapiens]	Protein	ARHGAP5 [Homo sapiens]	5	1	1.0086983134544123	ARHGAP5 [Homo sapiens]	Gene	Focal adhesion [Homo sapiens];Leukocyte transendothelial migration [Homo sapiens];Regulation of actin cytoskeleton [Homo sapiens]
Rho guanine nucleotide exchange factor 1 isoform 3 [Homo sapiens]	Protein	ARHGEF1 [Homo sapiens]	8	1	0.8442675216785996	ARHGEF1 [Homo sapiens];ATF7IP [Homo sapiens];BACH2 [Homo sapiens];FAM161B [Homo sapiens];CEP27 [Homo sapiens];DLGAP4 [Homo sapiens];FAM29A [Homo sapiens];FAM57B [Homo sapiens];FAM63A [Homo sapiens];FBXW12 [Homo sapiens];GPR157 [Homo sapiens];GPR64 [Homo sapiens];IRS4 [Homo sapiens];KLHL24 [Homo sapiens];MTMR1 [Homo sapiens];OGFR [Homo sapiens];PMS2L11 [Homo sapiens];RABGEF1 [Homo sapiens];RPL35A [Homo sapiens];SAMHD1 [Homo sapiens];LOC641977 [Homo sapiens];SLC22A3 [Homo sapiens];SRR [Homo sapiens];TAOK1 [Homo sapiens];THADA [Homo sapiens];UACA [Homo sapiens];UBE2D2 [Homo sapiens];UTP15 [Homo sapiens];YY1AP1 [Homo sapiens];ZNF160 [Homo sapiens]	Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene	Regulation of actin cytoskeleton [Homo sapiens];Axon guidance [Homo sapiens];;;;;;;;;;;;Type II diabetes mellitus [Homo sapiens];Insulin signaling pathway [Homo sapiens];Adipocytokine signaling pathway [Homo sapiens];;Aminosugars metabolism [Homo sapiens];Riboflavin metabolism [Homo sapiens];Fructose and mannose metabolism [Homo sapiens];Thiamine metabolism [Homo sapiens];;;;Ribosome [Homo sapiens];AKT-mTOR_regulated_skeletal-muscle-hypertrophy;Insulin-MAPK-PI3K-AKT_pathway_;;;;;MAPK signaling pathway [Homo sapiens];;;Ubiquitin mediated proteolysis [Homo sapiens];;;
Rho guanine nucleotide exchange factor (GEF) 12 [Homo sapiens]	Protein	ARHGEF12 [Homo sapiens]	8	2	1.3226858240695667	ARHGEF12 [Homo sapiens]	Gene	Regulation of actin cytoskeleton [Homo sapiens];Axon guidance [Homo sapiens]
ariadne ubiquitin-conjugating enzyme E2 binding protein homolog 1 [Homo sapiens]	Protein	ARIH1 [Homo sapiens]	3	2	1.19021051330418	ARIH1 [Homo sapiens]	Gene	
ariadne homolog 2 [Homo sapiens]	Protein	ARIH2 [Homo sapiens]	24	1	1.1511878349265234	ARIH2 [Homo sapiens]	Gene	
ADP-ribosylation factor-like 2 [Homo sapiens]	Protein	ARL2 [Homo sapiens]	9	1	1.1213054847001833	ARL2 [Homo sapiens]	Gene	
actin related protein 2/3 complex subunit 3 [Homo sapiens]	Protein	ARPC3 [Homo sapiens]	19	2	0.975057835293539	ARPC3 [Homo sapiens]	Gene	Regulation of actin cytoskeleton [Homo sapiens];Pathogenic Escherichia coli infection [Homo sapiens]
arrestin beta 1 isoform A [Homo sapiens]	Protein	ARRB1 [Homo sapiens]	45	1	0.7730212140005567	ARRB1 [Homo sapiens]	Gene	MAPK signaling pathway [Homo sapiens]
arrestin beta 2 isoform 1 [Homo sapiens]	Protein	ARRB2 [Homo sapiens]	38	2	0.7733593296972973	ARRB2 [Homo sapiens]	Gene	MAPK signaling pathway [Homo sapiens];Olfactory transduction [Homo sapiens]
anti-silencing function 1B [Homo sapiens]	Protein	ASF1B [Homo sapiens]	40	1	0.6523943699057387	ASF1B [Homo sapiens]	Gene	
