Object	Object type	Relation source	Relation source type	Relation target	Relation target type
ribosomal protein S6 [Homo sapiens] interacts with ribosomal protein S9 [Homo sapiens]	Helper_PPI (good experimental evidence)	ribosomal protein S6 [Homo sapiens]	Protein	ribosomal protein S9 [Homo sapiens]	Protein
tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, gamma polypeptide [Homo sapiens] interacts with erythrocyte membrane protein band 4.1 (elliptocytosis 1, RH-linked) isoform 3 [Homo sapiens]	Helper_PPI (good experimental evidence)	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, gamma polypeptide [Homo sapiens]	Protein	erythrocyte membrane protein band 4.1 (elliptocytosis 1, RH-linked) isoform 3 [Homo sapiens]	Protein
nuclear cap binding protein subunit 2, 20kDa [Homo sapiens] interacts with U2 (RNU2) small nuclear RNA auxiliary factor 2 isoform b [Homo sapiens]	Helper_PPI (good experimental evidence)	nuclear cap binding protein subunit 2, 20kDa [Homo sapiens]	Protein	U2 (RNU2) small nuclear RNA auxiliary factor 2 isoform b [Homo sapiens]	Protein
nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100) [Homo sapiens] interacts with ribosomal protein L6 [Homo sapiens]	Helper_PPI (good experimental evidence)	nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100) [Homo sapiens]	Protein	ribosomal protein L6 [Homo sapiens]	Protein
erythropoietin receptor precursor [Homo sapiens] interacts with phosphoinositide-3-kinase, regulatory subunit, polypeptide 1 isoform 2 [Homo sapiens]	Helper_PPI (good experimental evidence)	erythropoietin receptor precursor [Homo sapiens]	Protein	phosphoinositide-3-kinase, regulatory subunit, polypeptide 1 isoform 2 [Homo sapiens]	Protein
v-akt murine thymoma viral oncogene homolog 1 [Homo sapiens] interacts with tuberous sclerosis 2 isoform 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	v-akt murine thymoma viral oncogene homolog 1 [Homo sapiens]	Protein	tuberous sclerosis 2 isoform 1 [Homo sapiens]	Protein
TNF receptor-associated factor 2 [Homo sapiens] interacts with ribosomal protein L23 [Homo sapiens]	Helper_PPI (good experimental evidence)	TNF receptor-associated factor 2 [Homo sapiens]	Protein	ribosomal protein L23 [Homo sapiens]	Protein
mitogen-activated protein kinase kinase kinase 1 [Homo sapiens] interacts with conserved helix-loop-helix ubiquitous kinase [Homo sapiens]	Helper_PPI (good experimental evidence)	mitogen-activated protein kinase kinase kinase 1 [Homo sapiens]	Protein	conserved helix-loop-helix ubiquitous kinase [Homo sapiens]	Protein
caspase 8 isoform A [Homo sapiens] interacts with mitogen-activated protein kinase kinase kinase 14 [Homo sapiens]	Helper_PPI (good experimental evidence)	caspase 8 isoform A [Homo sapiens]	Protein	mitogen-activated protein kinase kinase kinase 14 [Homo sapiens]	Protein
inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta [Homo sapiens] interacts with heterogeneous nuclear ribonucleoprotein U isoform b [Homo sapiens]	Helper_PPI (good experimental evidence)	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta [Homo sapiens]	Protein	heterogeneous nuclear ribonucleoprotein U isoform b [Homo sapiens]	Protein
integrin beta 4 binding protein isoform a [Homo sapiens] interacts with guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	integrin beta 4 binding protein isoform a [Homo sapiens]	Protein	guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1 [Homo sapiens]	Protein
phosphoinositide-3-kinase, regulatory subunit, polypeptide 1 isoform 2 [Homo sapiens] interacts with hepatocyte growth factor-regulated tyrosine kinase substrate [Homo sapiens]	Helper_PPI (good experimental evidence)	phosphoinositide-3-kinase, regulatory subunit, polypeptide 1 isoform 2 [Homo sapiens]	Protein	hepatocyte growth factor-regulated tyrosine kinase substrate [Homo sapiens]	Protein
PIN2-interacting protein 1 [Homo sapiens] interacts with cytochrome c [Homo sapiens]	Helper_PPI (good experimental evidence)	PIN2-interacting protein 1 [Homo sapiens]	Protein	cytochrome c [Homo sapiens]	Protein
hypoxia-inducible factor 1, alpha subunit isoform 1 [Homo sapiens] interacts with heat shock protein 90kDa alpha (cytosolic), class A member 1 isoform 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	hypoxia-inducible factor 1, alpha subunit isoform 1 [Homo sapiens]	Protein	heat shock protein 90kDa alpha (cytosolic), class A member 1 isoform 1 [Homo sapiens]	Protein
v-akt murine thymoma viral oncogene homolog 1 [Homo sapiens] interacts with mitogen-activated protein kinase kinase kinase 5 [Homo sapiens]	Helper_PPI (good experimental evidence)	v-akt murine thymoma viral oncogene homolog 1 [Homo sapiens]	Protein	mitogen-activated protein kinase kinase kinase 5 [Homo sapiens]	Protein
beta actin [Homo sapiens] interacts with ribosomal protein P0 [Homo sapiens]	Helper_PPI (good experimental evidence)	beta actin [Homo sapiens]	Protein	ribosomal protein P0 [Homo sapiens]	Protein
exportin 5 [Homo sapiens] regulates MESH:D024510 Muscle Development	regulation	exportin 5 [Homo sapiens]	Protein	MESH:D024510 Muscle Development	MeSH
ribosomal protein S6 [Homo sapiens] interacts with ribosomal protein L18 [Homo sapiens]	Helper_PPI (good experimental evidence)	ribosomal protein S6 [Homo sapiens]	Protein	ribosomal protein L18 [Homo sapiens]	Protein
myogenic differentiation 1 [Homo sapiens] interacts with retinoid X receptor, alpha [Homo sapiens]	Helper_PPI (good experimental evidence)	myogenic differentiation 1 [Homo sapiens]	Protein	retinoid X receptor, alpha [Homo sapiens]	Protein
myogenic differentiation 1 [Homo sapiens] interacts with Sp1 transcription factor [Homo sapiens]	Helper_PPI (good experimental evidence)	myogenic differentiation 1 [Homo sapiens]	Protein	Sp1 transcription factor [Homo sapiens]	Protein
ribosomal protein S6 [Homo sapiens] interacts with ribosomal protein L4 [Homo sapiens]	Helper_PPI (good experimental evidence)	ribosomal protein S6 [Homo sapiens]	Protein	ribosomal protein L4 [Homo sapiens]	Protein
ribosomal protein S6 [Homo sapiens] interacts with ribosomal protein L38 [Homo sapiens]	Helper_PPI (good experimental evidence)	ribosomal protein S6 [Homo sapiens]	Protein	ribosomal protein L38 [Homo sapiens]	Protein
growth factor receptor-bound protein 2 isoform 1 [Homo sapiens] interacts with ribosomal protein L35a [Homo sapiens]	Helper_PPI (good experimental evidence)	growth factor receptor-bound protein 2 isoform 1 [Homo sapiens]	Protein	ribosomal protein L35a [Homo sapiens]	Protein
paxillin [Homo sapiens] interacts with glyceraldehyde-3-phosphate dehydrogenase [Homo sapiens]	Helper_PPI (good experimental evidence)	paxillin [Homo sapiens]	Protein	glyceraldehyde-3-phosphate dehydrogenase [Homo sapiens]	Protein
mitogen-activated protein kinase kinase kinase 14 [Homo sapiens] interacts with receptor (TNFRSF)-interacting serine-threonine kinase 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	mitogen-activated protein kinase kinase kinase 14 [Homo sapiens]	Protein	receptor (TNFRSF)-interacting serine-threonine kinase 1 [Homo sapiens]	Protein
v-raf-1 murine leukemia viral oncogene homolog 1 [Homo sapiens] interacts with vav 1 oncogene [Homo sapiens]	Helper_PPI (good experimental evidence)	v-raf-1 murine leukemia viral oncogene homolog 1 [Homo sapiens]	Protein	vav 1 oncogene [Homo sapiens]	Protein
ribosomal protein L18a [Homo sapiens] interacts with neural precursor cell expressed, developmentally down-regulated 4 isoform 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	ribosomal protein L18a [Homo sapiens]	Protein	neural precursor cell expressed, developmentally down-regulated 4 isoform 1 [Homo sapiens]	Protein
v-akt murine thymoma viral oncogene homolog 1 [Homo sapiens] interacts with protein kinase N2 [Homo sapiens]	Helper_PPI (good experimental evidence)	v-akt murine thymoma viral oncogene homolog 1 [Homo sapiens]	Protein	protein kinase N2 [Homo sapiens]	Protein
TNF receptor-associated factor 4 isoform 1 [Homo sapiens] interacts with phospholipid scramblase 1 [Homo sapiens]	Helper_PPI (Two-hybrid)	TNF receptor-associated factor 4 isoform 1 [Homo sapiens]	Protein	phospholipid scramblase 1 [Homo sapiens]	Protein
40S ribosomal protein S3a [Homo sapiens] interacts with heat shock protein 90kDa alpha (cytosolic), class A member 1 isoform 1 [Homo sapiens]	Helper_PPI (Two-hybrid)	40S ribosomal protein S3a [Homo sapiens]	Protein	heat shock protein 90kDa alpha (cytosolic), class A member 1 isoform 1 [Homo sapiens]	Protein
TNF receptor-associated factor 2 [Homo sapiens] interacts with heat shock protein 90kDa alpha (cytosolic), class A member 1 isoform 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	TNF receptor-associated factor 2 [Homo sapiens]	Protein	heat shock protein 90kDa alpha (cytosolic), class A member 1 isoform 1 [Homo sapiens]	Protein
paxillin [Homo sapiens] interacts with actin, gamma 1 propeptide [Homo sapiens]	Helper_PPI (good experimental evidence)	paxillin [Homo sapiens]	Protein	actin, gamma 1 propeptide [Homo sapiens]	Protein
p21-activated kinase 1 [Homo sapiens] interacts with heat shock protein 90kDa alpha (cytosolic), class A member 1 isoform 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	p21-activated kinase 1 [Homo sapiens]	Protein	heat shock protein 90kDa alpha (cytosolic), class A member 1 isoform 1 [Homo sapiens]	Protein
ribosomal protein S10 [Homo sapiens] interacts with ribosomal protein S6 [Homo sapiens]	Helper_PPI (good experimental evidence)	ribosomal protein S10 [Homo sapiens]	Protein	ribosomal protein S6 [Homo sapiens]	Protein
inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta [Homo sapiens] interacts with mitogen-activated protein kinase kinase kinase 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta [Homo sapiens]	Protein	mitogen-activated protein kinase kinase kinase 1 [Homo sapiens]	Protein
growth factor receptor-bound protein 2 isoform 1 [Homo sapiens] interacts with ribosomal protein S26 [Homo sapiens]	Helper_PPI (good experimental evidence)	growth factor receptor-bound protein 2 isoform 1 [Homo sapiens]	Protein	ribosomal protein S26 [Homo sapiens]	Protein
growth factor receptor-bound protein 2 isoform 1 [Homo sapiens] interacts with ribosomal protein L23 [Homo sapiens]	Helper_PPI (good experimental evidence)	growth factor receptor-bound protein 2 isoform 1 [Homo sapiens]	Protein	ribosomal protein L23 [Homo sapiens]	Protein
tyrosine 3/tryptophan 5 -monooxygenase activation protein, zeta polypeptide [Homo sapiens] interacts with mitogen-activated protein kinase kinase kinase 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	tyrosine 3/tryptophan 5 -monooxygenase activation protein, zeta polypeptide [Homo sapiens]	Protein	mitogen-activated protein kinase kinase kinase 1 [Homo sapiens]	Protein
v-akt murine thymoma viral oncogene homolog 1 [Homo sapiens] interacts with heat shock protein 90kDa alpha (cytosolic), class A member 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	v-akt murine thymoma viral oncogene homolog 1 [Homo sapiens]	Protein	heat shock protein 90kDa alpha (cytosolic), class A member 1 [Homo sapiens]	Protein
vav 1 oncogene [Homo sapiens] interacts with epidermal growth factor receptor isoform a [Homo sapiens]	Helper_PPI (good experimental evidence)	vav 1 oncogene [Homo sapiens]	Protein	epidermal growth factor receptor isoform a [Homo sapiens]	Protein
v-akt murine thymoma viral oncogene homolog 1 [Homo sapiens] interacts with neutrophil cytosolic factor 1 isoform 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	v-akt murine thymoma viral oncogene homolog 1 [Homo sapiens]	Protein	neutrophil cytosolic factor 1 isoform 1 [Homo sapiens]	Protein
cystic fibrosis transmembrane conductance regulator, ATP-binding cassette (sub-family C, member 7) [Homo sapiens] interacts with heat shock 90kDa protein 1, beta [Homo sapiens]	Helper_PPI (good experimental evidence)	cystic fibrosis transmembrane conductance regulator, ATP-binding cassette (sub-family C, member 7) [Homo sapiens]	Protein	heat shock 90kDa protein 1, beta [Homo sapiens]	Protein
3-phosphoinositide dependent protein kinase-1 isoform 1 [Homo sapiens] interacts with protein kinase N2 [Homo sapiens]	Helper_PPI (good experimental evidence)	3-phosphoinositide dependent protein kinase-1 isoform 1 [Homo sapiens]	Protein	protein kinase N2 [Homo sapiens]	Protein
tumor protein p53 [Homo sapiens] interacts with Sp1 transcription factor [Homo sapiens]	Helper_PPI (good experimental evidence)	tumor protein p53 [Homo sapiens]	Protein	Sp1 transcription factor [Homo sapiens]	Protein
insulin-like growth factor binding protein 5 [Homo sapiens] interacts with insulin-like growth factor 1 (somatomedin C) [Homo sapiens]	Helper_PPI (good experimental evidence)	insulin-like growth factor binding protein 5 [Homo sapiens]	Protein	insulin-like growth factor 1 (somatomedin C) [Homo sapiens]	Protein
major histocompatibility complex, class I, B [Homo sapiens] interacts with proliferating cell nuclear antigen [Homo sapiens]	Helper_PPI (good experimental evidence)	major histocompatibility complex, class I, B [Homo sapiens]	Protein	proliferating cell nuclear antigen [Homo sapiens]	Protein
reticuloendotheliosis viral oncogene homolog B [Homo sapiens] interacts with ribosomal protein S11 [Homo sapiens]	Helper_PPI (good experimental evidence)	reticuloendotheliosis viral oncogene homolog B [Homo sapiens]	Protein	ribosomal protein S11 [Homo sapiens]	Protein
promyelocytic leukemia protein isoform 6 [Homo sapiens] interacts with promyelocytic leukemia zinc finger protein [Homo sapiens]	Helper_PPI (good experimental evidence)	promyelocytic leukemia protein isoform 6 [Homo sapiens]	Protein	promyelocytic leukemia zinc finger protein [Homo sapiens]	Protein
mitogen-activated protein kinase kinase kinase 1 [Homo sapiens] interacts with heat shock 70kDa protein 8 isoform 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	mitogen-activated protein kinase kinase kinase 1 [Homo sapiens]	Protein	heat shock 70kDa protein 8 isoform 1 [Homo sapiens]	Protein
glycogen synthase kinase 3 beta [Homo sapiens] interacts with DNA directed RNA polymerase II polypeptide B [Homo sapiens]	Helper_PPI (good experimental evidence)	glycogen synthase kinase 3 beta [Homo sapiens]	Protein	DNA directed RNA polymerase II polypeptide B [Homo sapiens]	Protein
mitogen-activated protein kinase kinase kinase 14 [Homo sapiens] interacts with inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta [Homo sapiens]	Helper_PPI (good experimental evidence)	mitogen-activated protein kinase kinase kinase 14 [Homo sapiens]	Protein	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta [Homo sapiens]	Protein
MAD, mothers against decapentaplegic homolog 3 [Homo sapiens] interacts with promyelocytic leukemia zinc finger protein [Homo sapiens]	Helper_PPI (good experimental evidence)	MAD, mothers against decapentaplegic homolog 3 [Homo sapiens]	Protein	promyelocytic leukemia zinc finger protein [Homo sapiens]	Protein
eukaryotic translation initiation factor 2 beta [Homo sapiens] interacts with tumor protein p53 [Homo sapiens]	Helper_PPI (Two-hybrid)	eukaryotic translation initiation factor 2 beta [Homo sapiens]	Protein	tumor protein p53 [Homo sapiens]	Protein
TNF receptor-associated factor 4 isoform 1 [Homo sapiens] interacts with neutrophil cytosolic factor 1 isoform 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	TNF receptor-associated factor 4 isoform 1 [Homo sapiens]	Protein	neutrophil cytosolic factor 1 isoform 1 [Homo sapiens]	Protein
phosphoinositide-3-kinase, regulatory subunit, polypeptide 1 isoform 2 [Homo sapiens] interacts with lymphocyte-specific protein tyrosine kinase [Homo sapiens]	Helper_PPI (good experimental evidence)	phosphoinositide-3-kinase, regulatory subunit, polypeptide 1 isoform 2 [Homo sapiens]	Protein	lymphocyte-specific protein tyrosine kinase [Homo sapiens]	Protein
epidermal growth factor receptor isoform a [Homo sapiens] interacts with heat shock 70kDa protein 1B [Homo sapiens]	Helper_PPI (good experimental evidence)	epidermal growth factor receptor isoform a [Homo sapiens]	Protein	heat shock 70kDa protein 1B [Homo sapiens]	Protein
nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100) [Homo sapiens] interacts with heat shock 70kDa protein 1B [Homo sapiens]	Helper_PPI (good experimental evidence)	nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100) [Homo sapiens]	Protein	heat shock 70kDa protein 1B [Homo sapiens]	Protein
ras-related C3 botulinum toxin substrate 1 isoform Rac1 [Homo sapiens] interacts with phosphoinositide-3-kinase, regulatory subunit, polypeptide 1 isoform 2 [Homo sapiens]	Helper_PPI (good experimental evidence)	ras-related C3 botulinum toxin substrate 1 isoform Rac1 [Homo sapiens]	Protein	phosphoinositide-3-kinase, regulatory subunit, polypeptide 1 isoform 2 [Homo sapiens]	Protein
nuclear cap binding protein subunit 2, 20kDa [Homo sapiens] interacts with heterogeneous nuclear ribonucleoprotein D isoform d [Homo sapiens]	Helper_PPI (good experimental evidence)	nuclear cap binding protein subunit 2, 20kDa [Homo sapiens]	Protein	heterogeneous nuclear ribonucleoprotein D isoform d [Homo sapiens]	Protein
ribosomal protein S6 [Homo sapiens] interacts with hypothetical protein LOC388524 [Homo sapiens]	Helper_PPI (good experimental evidence)	ribosomal protein S6 [Homo sapiens]	Protein	hypothetical protein LOC388524 [Homo sapiens]	Protein
nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha [Homo sapiens] interacts with heat shock 70kDa protein 1B [Homo sapiens]	Helper_PPI (good experimental evidence)	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha [Homo sapiens]	Protein	heat shock 70kDa protein 1B [Homo sapiens]	Protein
BCL2-antagonist of cell death protein [Homo sapiens] interacts with Ewing sarcoma breakpoint region 1 isoform EWS [Homo sapiens]	Helper_PPI (good experimental evidence)	BCL2-antagonist of cell death protein [Homo sapiens]	Protein	Ewing sarcoma breakpoint region 1 isoform EWS [Homo sapiens]	Protein
v-yes-1 Yamaguchi sarcoma viral related oncogene homolog [Homo sapiens] interacts with SHC (Src homology 2 domain containing) transforming protein 1 isoform p52Shc [Homo sapiens]	Helper_PPI (good experimental evidence)	v-yes-1 Yamaguchi sarcoma viral related oncogene homolog [Homo sapiens]	Protein	SHC (Src homology 2 domain containing) transforming protein 1 isoform p52Shc [Homo sapiens]	Protein
cyclin-dependent kinase 2 isoform 1 [Homo sapiens] interacts with ubiquitin and ribosomal protein S27a precursor [Homo sapiens]	Helper_PPI (good experimental evidence)	cyclin-dependent kinase 2 isoform 1 [Homo sapiens]	Protein	ubiquitin and ribosomal protein S27a precursor [Homo sapiens]	Protein
tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide [Homo sapiens] interacts with integrin beta 1 isoform 1A precursor [Homo sapiens]	Helper_PPI (good experimental evidence)	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide [Homo sapiens]	Protein	integrin beta 1 isoform 1A precursor [Homo sapiens]	Protein
CD4 antigen precursor [Homo sapiens] interacts with ubiquitin and ribosomal protein L40 precursor [Homo sapiens]	Helper_PPI (good experimental evidence)	CD4 antigen precursor [Homo sapiens]	Protein	ubiquitin and ribosomal protein L40 precursor [Homo sapiens]	Protein
tumor necrosis factor receptor 1 precursor [Homo sapiens] interacts with ubiquitin and ribosomal protein L40 precursor [Homo sapiens]	Helper_PPI (good experimental evidence)	tumor necrosis factor receptor 1 precursor [Homo sapiens]	Protein	ubiquitin and ribosomal protein L40 precursor [Homo sapiens]	Protein
p21-activated kinase 1 [Homo sapiens] interacts with calmodulin 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	p21-activated kinase 1 [Homo sapiens]	Protein	calmodulin 1 [Homo sapiens]	Protein
ribosomal protein S18 [Homo sapiens] interacts with ribosomal protein S6 [Homo sapiens]	Helper_PPI (good experimental evidence)	ribosomal protein S18 [Homo sapiens]	Protein	ribosomal protein S6 [Homo sapiens]	Protein
v-raf-1 murine leukemia viral oncogene homolog 1 [Homo sapiens] interacts with p21-activated kinase 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	v-raf-1 murine leukemia viral oncogene homolog 1 [Homo sapiens]	Protein	p21-activated kinase 1 [Homo sapiens]	Protein
mitogen-activated protein kinase kinase kinase 7 interacting protein 2 [Homo sapiens] interacts with ribosomal protein L23 [Homo sapiens]	Helper_PPI (good experimental evidence)	mitogen-activated protein kinase kinase kinase 7 interacting protein 2 [Homo sapiens]	Protein	ribosomal protein L23 [Homo sapiens]	Protein
calmodulin 1 [Homo sapiens] interacts with heat shock protein 90kDa alpha (cytosolic), class A member 1 isoform 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	calmodulin 1 [Homo sapiens]	Protein	heat shock protein 90kDa alpha (cytosolic), class A member 1 isoform 1 [Homo sapiens]	Protein
growth factor receptor-bound protein 2 isoform 1 [Homo sapiens] interacts with ribosomal protein L27 [Homo sapiens]	Helper_PPI (good experimental evidence)	growth factor receptor-bound protein 2 isoform 1 [Homo sapiens]	Protein	ribosomal protein L27 [Homo sapiens]	Protein
phytanoyl-CoA hydroxylase interacting protein [Homo sapiens] interacts with transcriptional intermediary factor 1 alpha isoform b [Homo sapiens]	Helper_PPI (Two-hybrid)	phytanoyl-CoA hydroxylase interacting protein [Homo sapiens]	Protein	transcriptional intermediary factor 1 alpha isoform b [Homo sapiens]	Protein
retinoid X receptor, alpha [Homo sapiens] interacts with promyelocytic leukemia zinc finger protein [Homo sapiens]	Helper_PPI (good experimental evidence)	retinoid X receptor, alpha [Homo sapiens]	Protein	promyelocytic leukemia zinc finger protein [Homo sapiens]	Protein
insulin-like growth factor 1 (somatomedin C) [Homo sapiens] regulates MESH:D024510 Muscle Development	regulation	insulin-like growth factor 1 (somatomedin C) [Homo sapiens]	Protein	MESH:D024510 Muscle Development	MeSH
nuclear cap binding protein subunit 1, 80kDa [Homo sapiens] interacts with nuclear cap binding protein subunit 2, 20kDa [Homo sapiens]	Helper_PPI (good experimental evidence)	nuclear cap binding protein subunit 1, 80kDa [Homo sapiens]	Protein	nuclear cap binding protein subunit 2, 20kDa [Homo sapiens]	Protein
mitogen-activated protein kinase 1 [Homo sapiens] interacts with translocated promoter region (to activated MET oncogene) [Homo sapiens]	Helper_PPI (good experimental evidence)	mitogen-activated protein kinase 1 [Homo sapiens]	Protein	translocated promoter region (to activated MET oncogene) [Homo sapiens]	Protein
v-akt murine thymoma viral oncogene homolog 1 [Homo sapiens] interacts with BCL2-antagonist of cell death protein [Homo sapiens]	Helper_PPI (good experimental evidence)	v-akt murine thymoma viral oncogene homolog 1 [Homo sapiens]	Protein	BCL2-antagonist of cell death protein [Homo sapiens]	Protein
myogenic differentiation 1 [Homo sapiens] interacts with calmodulin 3 [Homo sapiens]	Helper_PPI (good experimental evidence)	myogenic differentiation 1 [Homo sapiens]	Protein	calmodulin 3 [Homo sapiens]	Protein
ribosomal protein S4, X-linked X isoform [Homo sapiens] interacts with ribosomal protein S6 [Homo sapiens]	Helper_PPI (good experimental evidence)	ribosomal protein S4, X-linked X isoform [Homo sapiens]	Protein	ribosomal protein S6 [Homo sapiens]	Protein
heat shock protein 90kDa alpha (cytosolic), class A member 1 isoform 1 [Homo sapiens] interacts with casein kinase II alpha 1 subunit isoform a [Homo sapiens]	Helper_PPI (good experimental evidence)	heat shock protein 90kDa alpha (cytosolic), class A member 1 isoform 1 [Homo sapiens]	Protein	casein kinase II alpha 1 subunit isoform a [Homo sapiens]	Protein
cyclin A [Homo sapiens] interacts with guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1 [Homo sapiens]	Helper_PPI (good experimental evidence)	cyclin A [Homo sapiens]	Protein	guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1 [Homo sapiens]	Protein
TNFRSF1A-associated via death domain isoform 1 [Homo sapiens] interacts with ribosomal protein S27 [Homo sapiens]	Helper_PPI (good experimental evidence)	TNFRSF1A-associated via death domain isoform 1 [Homo sapiens]	Protein	ribosomal protein S27 [Homo sapiens]	Protein
tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, gamma polypeptide [Homo sapiens] interacts with insulin-like growth factor 1 receptor precursor [Homo sapiens]	Helper_PPI (good experimental evidence)	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, gamma polypeptide [Homo sapiens]	Protein	insulin-like growth factor 1 receptor precursor [Homo sapiens]	Protein
poly(A) binding protein, cytoplasmic 1 [Homo sapiens] interacts with heterogeneous nuclear ribonucleoprotein K isoform a [Homo sapiens]	Helper_PPI (good experimental evidence)	poly(A) binding protein, cytoplasmic 1 [Homo sapiens]	Protein	heterogeneous nuclear ribonucleoprotein K isoform a [Homo sapiens]	Protein
retinoid X receptor, alpha [Homo sapiens] interacts with transcriptional intermediary factor 1 alpha isoform b [Homo sapiens]	Helper_PPI (good experimental evidence)	retinoid X receptor, alpha [Homo sapiens]	Protein	transcriptional intermediary factor 1 alpha isoform b [Homo sapiens]	Protein
