Object	Object type	Related Gene	Topological rank	Relevance rank	Expression rank	Related objects (Gene elements).Object	Related objects (Gene elements).Object type	Related objects (Gene elements).Pathways
BCL2-like 11 isoform 6 [Homo sapiens]	Protein	BCL2L11 [Homo sapiens]	11	1	1.0643086881243196	BCL2L11 [Homo sapiens]	Gene	
B-cell CLL/lymphoma 3 [Homo sapiens]	Protein	BCL3 [Homo sapiens]	70	1	0.9208750727982594	BCL3 [Homo sapiens]	Gene	Adipocytokine signaling pathway [Homo sapiens];B cell receptor signaling pathway [Homo sapiens];T cell receptor signaling pathway [Homo sapiens]
B-cell lymphoma 6 protein [Homo sapiens]	Protein	BCL6 [Homo sapiens]	98	1	1.2538642222637433	BCL6 [Homo sapiens];C17orf45 [Homo sapiens]	Gene;Gene	;
complement component 1, q subcomponent binding protein precursor [Homo sapiens]	Protein	C1QBP [Homo sapiens]	29	2	1.0792144214641535	C1QBP [Homo sapiens]	Gene	
calmodulin 1 [Homo sapiens]	Protein	CALM1 [Homo sapiens]	115	0	1.0839454811978066	CALM1 [Homo sapiens]	Gene	Long-term potentiation [Homo sapiens];Calcium signaling pathway [Homo sapiens];Insulin signaling pathway [Homo sapiens];GnRH signaling pathway [Homo sapiens];Glioma [Homo sapiens];Olfactory transduction [Homo sapiens];Huntington's disease [Homo sapiens];Melanogenesis [Homo sapiens];Phosphatidylinositol signaling system [Homo sapiens]
calmodulin 3 [Homo sapiens]	Protein	CALM3 [Homo sapiens]	84	0	1.0474624880418644	CALM3 [Homo sapiens]	Gene	Long-term potentiation [Homo sapiens];Calcium signaling pathway [Homo sapiens];Insulin signaling pathway [Homo sapiens];GnRH signaling pathway [Homo sapiens];Glioma [Homo sapiens];Olfactory transduction [Homo sapiens];Huntington's disease [Homo sapiens];Melanogenesis [Homo sapiens];Phosphatidylinositol signaling system [Homo sapiens]
caspase 8 isoform A [Homo sapiens]	Protein	CASP8 [Homo sapiens]	61	2	0.6666466655267743	CASP8 [Homo sapiens]	Gene	MAPK signaling pathway [Homo sapiens];Huntington's disease [Homo sapiens];Apoptosis [Homo sapiens];Toll-like receptor signaling pathway [Homo sapiens];p53 signaling pathway [Homo sapiens];Neurodegenerative Diseases [Homo sapiens];Dentatorubropallidoluysian atrophy (DRPLA) [Homo sapiens];CD8-T-Lymphocyte_Apoptosis_pathway_blood;FAS-Apoptosis_pathway_blood;FAS_apoptosis_pathway_lung;TNF-alpha-apoptosis;TNFa_T-Lymphocyte_Apoptosis_pathway_blood;TNF_apoptosis_pathway_lung
Cas-Br-M (murine) ecotropic retroviral transforming sequence [Homo sapiens]	Protein	CBL [Homo sapiens]	97	1	0.692456469152187	CBL [Homo sapiens]	Gene	Chronic myeloid leukemia [Homo sapiens];Insulin signaling pathway [Homo sapiens];Jak-STAT signaling pathway [Homo sapiens];T cell receptor signaling pathway [Homo sapiens];ErbB signaling pathway [Homo sapiens];Ubiquitin mediated proteolysis [Homo sapiens]
hepatitis delta antigen-interacting protein A [Homo sapiens]	Protein	CCDC85B [Homo sapiens]	142	1	0.8874657638733344	CCDC85B [Homo sapiens]	Gene	
cyclin A [Homo sapiens]	Protein	CCNA2 [Homo sapiens]	108	2	0.6871417209584213	CCNA2 [Homo sapiens];AMMECR1 [Homo sapiens];ANLN [Homo sapiens];ARHGAP11A [Homo sapiens];ASAH1 [Homo sapiens];ASPM [Homo sapiens];ATAD2 [Homo sapiens];AURKA [Homo sapiens];AURKB [Homo sapiens];BIRC5 [Homo sapiens];BRCA1 [Homo sapiens];BRI3BP [Homo sapiens];BRIP1 [Homo sapiens];MRPL36 [Homo sapiens];BUB1 [Homo sapiens];BUB1B [Homo sapiens];BUB3 [Homo sapiens];C12orf32 [Homo sapiens];C12orf48 [Homo sapiens];C13orf3 [Homo sapiens];C14orf166 [Homo sapiens];C15orf23 [Homo sapiens];C18orf54 [Homo sapiens];C1orf112 [Homo sapiens];ZNHIT6 [Homo sapiens];C1QC [Homo sapiens];C20orf29 [Homo sapiens];C21orf45 [Homo sapiens];C21orf9 [Homo sapiens];C2orf49 [Homo sapiens];C6orf173 [Homo sapiens];C6orf182 [Homo sapiens];C9orf40 [Homo sapiens];CASC5 [Homo sapiens];CBX3 [Homo sapiens];CCDC138 [Homo sapiens];CCDC5 [Homo sapiens];CCDC99 [Homo sapiens];CCNB1 [Homo sapiens];CCNB2 [Homo sapiens];CCNE2 [Homo sapiens];CCT2 [Homo sapiens];CD14 [Homo sapiens];NDUFA2 [Homo sapiens];POLD1 [Homo sapiens];CDC2 [Homo sapiens];CDC20 [Homo sapiens];CDC25A [Homo sapiens];CDC25C [Homo sapiens];CDC6 [Homo sapiens];CDC7 [Homo sapiens];CDCA2 [Homo sapiens];CDCA3 [Homo sapiens];CDCA4 [Homo sapiens];CDCA8 [Homo sapiens];CDK2 [Homo sapiens];CDKN3 [Homo sapiens];CDT1 [Homo sapiens];CENPA [Homo sapiens];CENPE [Homo sapiens];CENPF [Homo sapiens];CENPH [Homo sapiens];CENPK [Homo sapiens];CEP55 [Homo sapiens];CEP78 [Homo sapiens];CFLAR [Homo sapiens];CHEK1 [Homo sapiens];CKAP2 [Homo sapiens];CSE1L [Homo sapiens];CST1 [Homo sapiens];CTPS [Homo sapiens];CTSB [Homo sapiens];CTTN [Homo sapiens];DDX11 [Homo sapiens];DEPDC1 [Homo sapiens];DEPDC1B [Homo sapiens];DES [Homo sapiens];DHFR [Homo sapiens];DIAPH3 [Homo sapiens];DLGAP5 [Homo sapiens];DONSON [Homo sapiens];DSN1 [Homo sapiens];TNFSF13B [Homo sapiens];DTL [Homo sapiens];E2F1 [Homo sapiens];ECT2 [Homo sapiens];EEF1E1 [Homo sapiens];ELOVL6 [Homo sapiens];ERCC6L [Homo sapiens];ESCO2 [Homo sapiens];EXO1 [Homo sapiens];EXOSC8 [Homo sapiens];EXOSC9 [Homo sapiens];FAM29A [Homo sapiens];FAM33A [Homo sapiens];FAM83D [Homo sapiens];FANCD2 [Homo sapiens];FANCI [Homo sapiens];FBXO5 [Homo sapiens];FEN1 [Homo sapiens];FIGNL1 [Homo sapiens];FOXD1 [Homo sapiens];FOXM1 [Homo sapiens];GART [Homo sapiens];GGTA1 [Homo sapiens];GIMAP4 [Homo sapiens];GIMAP5 [Homo sapiens];GINS1 [Homo sapiens];GINS3 [Homo sapiens];GPR89A [Homo sapiens];GTSE1 [Homo sapiens];H2AFX [Homo sapiens];H2AFZ [Homo sapiens];HDAC2 [Homo sapiens];HELLS [Homo sapiens];HJURP [Homo sapiens];HMGA1 [Homo sapiens];HMGB2 [Homo sapiens];HMMR [Homo sapiens];HN1 [Homo sapiens];NOTCH1 [Homo sapiens];HNRNPA2B1 [Homo sapiens];HNRNPR [Homo sapiens];IGF2BP3 [Homo sapiens];KIAA0101 [Homo sapiens];KIAA0841 [Homo sapiens];KIAA1333 [Homo sapiens];KIAA1524 [Homo sapiens];KIF11 [Homo sapiens];KIF14 [Homo sapiens];KIF15 [Homo sapiens];KIF18A [Homo sapiens];KIF20A [Homo sapiens];KIF23 [Homo sapiens];KIF2A [Homo sapiens];KIF2C [Homo sapiens];KIF4A [Homo sapiens];KNTC1 [Homo sapiens];KPNA2 [Homo sapiens];LMNB1 [Homo sapiens];LRRK2 [Homo sapiens];MAD2L1 [Homo sapiens];MCAM [Homo sapiens];MCM10 [Homo sapiens];MCM4 [Homo sapiens];MCM7 [Homo sapiens];MELK [Homo sapiens];MKI67 [Homo sapiens];MND1 [Homo sapiens];KIF20B [Homo sapiens];MPHOSPH6 [Homo sapiens];MPP6 [Homo sapiens];MSH2 [Homo sapiens];MTDH [Homo sapiens];MTHFD1L [Homo sapiens];MYH11 [Homo sapiens];NCAPG [Homo sapiens];NCAPG2 [Homo sapiens];NDC80 [Homo sapiens];NEK2 [Homo sapiens];NR4A3 [Homo sapiens];NT5DC4 [Homo sapiens];NUF2 [Homo sapiens];OIP5 [Homo sapiens];OLA1 [Homo sapiens];ORC2L [Homo sapiens];PAICS [Homo sapiens];PBK [Homo sapiens];PLA2G4C [Homo sapiens];PLK1 [Homo sapiens];PLK4 [Homo sapiens];POLE2 [Homo sapiens];COASY [Homo sapiens];PPAT [Homo sapiens];PPP1R8 [Homo sapiens];PRC1 [Homo sapiens];PRIM2 [Homo sapiens];PRKDC [Homo sapiens];PSAT1 [Homo sapiens];PSMC3IP [Homo sapiens];PSPH [Homo sapiens];PSRC1 [Homo sapiens];PUS7 [Homo sapiens];RACGAP1 [Homo sapiens];RAD18 [Homo sapiens];RAD51 [Homo sapiens];RAD51AP1 [Homo sapiens];RAD54B [Homo sapiens];RCC1 [Homo sapiens];RFC3 [Homo sapiens];RFC5 [Homo sapiens];RFWD3 [Homo sapiens];RFXAP [Homo sapiens];RPE [Homo sapiens];RPGRIP1L [Homo sapiens];RRM1 [Homo sapiens];RRM2 [Homo sapiens];RRP1B [Homo sapiens];RUVBL1 [Homo sapiens];SASS6 [Homo sapiens];SCLT1 [Homo sapiens];SEC16A [Homo sapiens];SERBP1 [Homo sapiens];SET [Homo sapiens];SFPQ [Homo sapiens];SFRS2 [Homo sapiens];SGOL2 [Homo sapiens];SHCBP1 [Homo sapiens];SHMT2 [Homo sapiens];SKP2 [Homo sapiens];SLBP [Homo sapiens];SLC25A17 [Homo sapiens];SLC7A5 [Homo sapiens];SMARCC1 [Homo sapiens];SMC2 [Homo sapiens];SMC4 [Homo sapiens];SNRPD2 [Homo sapiens];SNRPD1 [Homo sapiens];SNRPF [Homo sapiens];SPAG5 [Homo sapiens];SPC25 [Homo sapiens];SPIN4 [Homo sapiens];SSRP1 [Homo sapiens];STIL [Homo sapiens];SYNGR3 [Homo sapiens];TAF1A [Homo sapiens];TARS [Homo sapiens];TCF3 [Homo sapiens];TCF7L1 [Homo sapiens];TCTN2 [Homo sapiens];TK1 [Homo sapiens];TMEM176A [Homo sapiens];TMEM176B [Homo sapiens];TMEM201 [Homo sapiens];TMEM48 [Homo sapiens];TMEM97 [Homo sapiens];TMPO [Homo sapiens];TNS1 [Homo sapiens];TNXB [Homo sapiens];TOP2A [Homo sapiens];TPX2 [Homo sapiens];TRIP13 [Homo sapiens];TSR1 [Homo sapiens];FOXE1 [Homo sapiens];TTF2 [Homo sapiens];TTK [Homo sapiens];TTLL12 [Homo sapiens];TYMS [Homo sapiens];TYROBP [Homo sapiens];UBE2C [Homo sapiens];UBE2S [Homo sapiens];UCK2 [Homo sapiens];UHRF1 [Homo sapiens];VRK1 [Homo sapiens];WASF1 [Homo sapiens];WDHD1 [Homo sapiens];WDR76 [Homo sapiens];WHSC1 [Homo sapiens];XPOT [Homo sapiens];YEATS4 [Homo sapiens];YWHAQ [Homo sapiens];ZMYND19 [Homo sapiens];ZNF280C [Homo sapiens];ZNF326 [Homo sapiens];ZNF367 [Homo sapiens];ZNF451 [Homo sapiens];ZWILCH [Homo sapiens];ZWINT [Homo sapiens]	Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene;Gene	Cell cycle [Homo sapiens];;;;Natural killer cell mediated cytotoxicity [Rattus norvegicus];Sphingolipid metabolism [Homo sapiens];;;;;Colorectal cancer [Homo sapiens];Ubiquitin mediated proteolysis [Homo sapiens];;;;Cell cycle [Homo sapiens];Cell cycle [Homo sapiens];Cell cycle [Homo sapiens];;;;;;;;;Complement and coagulation cascades [Homo sapiens];Alzheimer's disease [Homo sapiens];;;;;;;;;;;;;Cell cycle [Homo sapiens];p53 signaling pathway [Homo sapiens];Cell cycle [Homo sapiens];p53 signaling pathway [Homo sapiens];Cell cycle [Homo sapiens];p53 signaling pathway [Homo sapiens];Prostate cancer [Homo sapiens];Small cell lung cancer [Homo sapiens];;MAPK signaling pathway [Homo sapiens];Toll-like receptor signaling pathway [Homo sapiens];Pathogenic Escherichia coli infection [Homo sapiens];Hematopoietic cell lineage [Homo sapiens];Complement and coagulation cascades [Homo sapiens];Neuroactive ligand-receptor interaction [Homo sapiens];Regulation of actin cytoskeleton [Homo sapiens];TLR2-NFkB_pathway_blood;TLR4-AP1_pathway_blood;TLR4-NFkB_pathway_blood;Oxidative phosphorylation [Homo sapiens];Parkinson's disease [Homo sapiens];DNA polymerase [Homo sapiens];DNA replication [Homo sapiens];Purine metabolism [Homo sapiens];Pyrimidine metabolism [Homo sapiens];Base excision repair [Homo sapiens];Nucleotide excision repair [Homo sapiens];Mismatch repair [Homo sapiens];Homologous recombination [Homo sapiens];Cell cycle [Homo sapiens];Gap junction [Homo sapiens];p53 signaling pathway [Homo sapiens];Ubiquitin mediated proteolysis [Homo sapiens];Cell cycle [Homo sapiens];Cell cycle [Homo sapiens];Cell cycle [Homo sapiens];MAPK signaling pathway [Homo sapiens];Cell cycle [Homo sapiens];Cell cycle [Homo sapiens];;;;;Cell cycle [Homo sapiens];p53 signaling pathway [Homo sapiens];Prostate cancer [Homo sapiens];Small cell lung cancer [Homo sapiens];;;;;;;;;;Apoptosis [Homo sapiens];Cell cycle [Homo sapiens];p53 signaling pathway [Homo sapiens];;;;Pyrimidine metabolism [Homo sapiens];Antigen processing and presentation [Homo sapiens];Tight junction [Homo sapiens];Pathogenic Escherichia coli infection [Homo sapiens];;;;Cell Communication [Homo sapiens];Folate biosynthesis [Homo sapiens];One carbon pool by folate [Homo sapiens];Regulation of actin cytoskeleton [Homo sapiens];;;;Cytokine-cytokine receptor interaction [Homo sapiens];;Pancreatic cancer [Homo sapiens];Glioma [Homo sapiens];Chronic myeloid leukemia [Homo sapiens];Cell cycle [Homo sapiens];Bladder cancer [Homo sapiens];Non-small cell lung cancer [Homo sapiens];Small cell lung cancer [Homo sapiens];Prostate cancer [Homo sapiens];Melanoma [Homo sapiens];p53 signaling pathway [Homo sapiens];;;Polyunsaturated fatty acid biosynthesis [Homo sapiens];Biosynthesis of unsaturated fatty acids [Homo sapiens];;Alkaloid biosynthesis II [Homo sapiens];Benzoate degradation via CoA ligation [Homo sapiens];Limonene and pinene degradation [Homo sapiens];Phenylalanine metabolism [Homo sapiens];1- and 2-Methylnaphthalene degradation [Homo sapiens];Glycerophospholipid metabolism [Homo sapiens];Tyrosine metabolism [Homo sapiens];Mismatch repair [Homo sapiens];;;;;;;;;DNA polymerase [Homo sapiens];DNA replication [Homo sapiens];Base excision repair [Homo sapiens];;;;Purine metabolism [Homo sapiens];One carbon pool by folate [Homo sapiens];;;;;;;p53 signaling pathway [Homo sapiens];;;Cell cycle [Homo sapiens];Notch signaling pathway [Homo sapiens];Chronic myeloid leukemia [Homo sapiens];;;;;ECM-receptor interaction [Homo sapiens];;Notch signaling pathway [Homo sapiens];Dorso-ventral axis formation [Homo sapiens];;;;;;;;;;;;;;;;;;;Cell Communication [Homo sapiens];Neurodegenerative Diseases [Homo sapiens];Parkinson's disease [Homo sapiens];Cell cycle [Homo sapiens];;;DNA polymerase [Homo sapiens];DNA replication [Homo sapiens];Cell cycle [Homo sapiens];DNA polymerase [Homo sapiens];DNA replication [Homo sapiens];Cell cycle [Homo sapiens];;;;;;;Colorectal cancer [Homo sapiens];Mismatch repair [Homo sapiens];;Glyoxylate and dicarboxylate metabolism [Homo sapiens];One carbon pool by folate [Homo sapiens];Focal adhesion [Homo sapiens];Tight junction [Homo sapiens];Leukocyte transendothelial migration [Homo sapiens];Regulation of actin cytoskeleton [Homo sapiens];;;;;;;;;;Cell cycle [Homo sapiens];Purine metabolism [Homo sapiens];;;Cell cycle [Homo sapiens];;DNA polymerase [Homo sapiens];DNA replication [Homo sapiens];Purine metabolism [Homo sapiens];Pyrimidine metabolism [Homo sapiens];Base excision repair [Homo sapiens];Nucleotide excision repair [Homo sapiens];Mismatch repair [Homo sapiens];Homologous recombination [Homo sapiens];Pantothenate and CoA biosynthesis [Homo sapiens];Purine metabolism [Homo sapiens];Glutamate metabolism [Homo sapiens];;;;Cell cycle [Homo sapiens];Glycine, serine and threonine metabolism [Homo sapiens];Vitamin B6 metabolism [Homo sapiens];;Glycine, serine and threonine metabolism [Homo sapiens];;;;;Homologous recombination [Homo sapiens];Pancreatic cancer [Homo sapiens];;Folate biosynthesis [Homo sapiens];Starch and sucrose metabolism [Homo sapiens];Homologous recombination [Homo sapiens];;DNA polymerase [Homo sapiens];DNA replication [Homo sapiens];Nucleotide excision repair [Homo sapiens];Mismatch repair [Homo sapiens];DNA polymerase [Homo sapiens];DNA replication [Homo sapiens];Nucleotide excision repair [Homo sapiens];Mismatch repair [Homo sapiens];;Antigen processing and presentation [Homo sapiens];Primary immunodeficiency [Homo sapiens];Pentose phosphate pathway [Homo sapiens];Pentose and glucuronate interconversions [Homo sapiens];Carbon fixation [Homo sapiens];;p53 signaling pathway [Homo sapiens];Pyrimidine metabolism [Homo sapiens];Purine metabolism [Homo sapiens];Glutathione metabolism [Homo sapiens];p53 signaling pathway [Homo sapiens];Pyrimidine metabolism [Homo sapiens];Purine metabolism [Homo sapiens];Glutathione metabolism [Homo sapiens];;Wnt signaling pathway [Homo sapiens];;;;;;;;;;Glycine, serine and threonine metabolism [Homo sapiens];Cyanoamino acid metabolism [Homo sapiens];One carbon pool by folate [Homo sapiens];Methane metabolism [Homo sapiens];Lysine degradation [Homo sapiens];Small cell lung cancer [Homo sapiens];Ubiquitin mediated proteolysis [Homo sapiens];Cell cycle [Homo sapiens];Wnt signaling pathway [Homo sapiens];Hedgehog signaling pathway [Homo sapiens];;;;;;;;;;;;;;;;;Glycine, serine and threonine metabolism [Homo sapiens];Aminoacyl-tRNA biosynthesis [Homo sapiens];;Adherens junction [Homo sapiens];Colorectal cancer [Homo sapiens];Wnt signaling pathway [Homo sapiens];Thyroid cancer [Homo sapiens];Melanogenesis [Homo sapiens];Basal cell carcinoma [Homo sapiens];Endometrial cancer [Homo sapiens];Prostate cancer [Homo sapiens];Acute myeloid leukemia [Homo sapiens];;Pyrimidine metabolism [Homo sapiens];Drug metabolism - other enzymes [Homo sapiens];;;;;;;;ECM-receptor interaction [Homo sapiens];Focal adhesion [Homo sapiens];Small cell lung cancer [Homo sapiens];Cell Communication [Homo sapiens];;;;;;;;;Pyrimidine metabolism [Homo sapiens];One carbon pool by folate [Homo sapiens];Natural killer cell mediated cytotoxicity [Homo sapiens];Ubiquitin mediated proteolysis [Homo sapiens];Ubiquitin mediated proteolysis [Homo sapiens];Pyrimidine metabolism [Homo sapiens];Drug metabolism - other enzymes [Homo sapiens];;;Regulation of actin cytoskeleton [Homo sapiens];Adherens junction [Homo sapiens];;;;;;Cell cycle [Homo sapiens];Pathogenic Escherichia coli infection [Homo sapiens];;;;;;;
